,sgRNA,gene,z_scored_sgRNA_lfc
0,Vienna_A1BG_1-Vienna_A1BG_4,A1BG,-0.8681904811035915
1,Vienna_A1BG_2-Vienna_A1BG_5,A1BG,-1.7198871940529674
2,Vienna_A1BG_3-Vienna_A1BG_6,A1BG,-1.7278885050016544
3,Vienna_A1CF_1-Vienna_A1CF_4,A1CF,-3.2979545078592447
4,Vienna_A1CF_2-Vienna_A1CF_5,A1CF,-0.0585588048944023
5,Vienna_A1CF_3-Vienna_A1CF_6,A1CF,-2.156095158677886
6,Vienna_A2M_1-Vienna_A2M_4,A2M,0.3192492041876244
7,Vienna_A2M_2-Vienna_A2M_5,A2M,-0.009493206508857802
8,Vienna_A2M_3-Vienna_A2M_6,A2M,-0.3287460863449511
9,Vienna_A2ML1_2-Vienna_A2ML1_5,A2ML1,-1.313042535598681
10,Vienna_A2ML1_3-Vienna_A2ML1_6,A2ML1,-0.42312178053595684
11,Vienna_A3GALT2_1-Vienna_A3GALT2_4,A3GALT2,-0.4788100327732216
12,Vienna_A3GALT2_2-Vienna_A3GALT2_5,A3GALT2,-1.034385928533046
13,Vienna_A3GALT2_3-Vienna_A3GALT2_6,A3GALT2,-1.9251269289004298
14,Vienna_A4GALT_1-Vienna_A4GALT_4,A4GALT,-3.863476453649796
15,Vienna_A4GALT_2-Vienna_A4GALT_5,A4GALT,-2.183818262998999
16,Vienna_A4GALT_3-Vienna_A4GALT_6,A4GALT,-0.9344401371087835
17,Vienna_A4GNT_1-Vienna_A4GNT_4,A4GNT,-1.3608879078229597
18,Vienna_A4GNT_2-Vienna_A4GNT_5,A4GNT,-2.199841702473167
19,Vienna_A4GNT_3-Vienna_A4GNT_6,A4GNT,-0.2125688742835335
20,Vienna_AAAS_1-Vienna_AAAS_4,AAAS,-4.062662180655361
21,Vienna_AAAS_2-Vienna_AAAS_5,AAAS,-5.26009580589423
22,Vienna_AAAS_3-Vienna_AAAS_6,AAAS,-0.9271462025762532
23,Vienna_AACS_1-Vienna_AACS_4,AACS,-1.635627307364937
24,Vienna_AACS_2-Vienna_AACS_5,AACS,-1.1208993031217749
25,Vienna_AACS_3-Vienna_AACS_6,AACS,-0.08195308926296607
26,Vienna_AADAC_1-Vienna_AADAC_4,AADAC,0.1998685712388914
27,Vienna_AADAC_2-Vienna_AADAC_5,AADAC,-0.1276315265133919
28,Vienna_AADAC_3-Vienna_AADAC_6,AADAC,-0.5846416119240708
29,Vienna_AADACL2_1-Vienna_AADACL2_4,AADACL2,0.9015490067980657
30,Vienna_AADACL2_2-Vienna_AADACL2_5,AADACL2,-0.5901367810481766
31,Vienna_AADACL2_3-Vienna_AADACL2_6,AADACL2,-1.3922363959722732
32,Vienna_AADACL3_1-Vienna_AADACL3_4,AADACL3,-0.8284536624407874
33,Vienna_AADACL3_2-Vienna_AADACL3_5,AADACL3,-0.30259473602285625
34,Vienna_AADACL3_3-Vienna_AADACL3_6,AADACL3,-3.7287641955028508
35,Vienna_AADACL4_1-Vienna_AADACL4_4,AADACL4,-2.3479811213680635
36,Vienna_AADACL4_2-Vienna_AADACL4_5,AADACL4,-1.3098004526284772
37,Vienna_AADACL4_3-Vienna_AADACL4_6,AADACL4,0.8415837619108915
38,Vienna_AADAT_1-Vienna_AADAT_4,AADAT,-0.535726119064106
39,Vienna_AADAT_2-Vienna_AADAT_5,AADAT,-2.6387744664571917
40,Vienna_AADAT_3-Vienna_AADAT_6,AADAT,-1.3496683479296268
41,Vienna_AAED1_1-Vienna_AAED1_4,AAED1,-1.7982732596354696
42,Vienna_AAED1_2-Vienna_AAED1_5,AAED1,-1.0419834519210578
43,Vienna_AAED1_3-Vienna_AAED1_6,AAED1,0.021546108885709927
44,Vienna_AAGAB_1-Vienna_AAGAB_4,AAGAB,-5.448231781195677
45,Vienna_AAGAB_2-Vienna_AAGAB_5,AAGAB,-6.48497815948604
46,Vienna_AAGAB_3-Vienna_AAGAB_6,AAGAB,-0.7973381193989049
47,Vienna_AAK1_2-Vienna_AAK1_5,AAK1,-2.3483700764163906
48,Vienna_AAK1_3-Vienna_AAK1_6,AAK1,-1.7731207131832498
49,Vienna_AAMDC_1-Vienna_AAMDC_4,AAMDC,-5.303651179283835
50,Vienna_AAMDC_2-Vienna_AAMDC_5,AAMDC,-0.5090748526949671
51,Vienna_AAMDC_3-Vienna_AAMDC_6,AAMDC,-1.0253519883795763
52,Vienna_AAMP_1-Vienna_AAMP_4,AAMP,-8.12951841386684
53,Vienna_AAMP_2-Vienna_AAMP_5,AAMP,-7.973870395065019
54,Vienna_AAMP_3-Vienna_AAMP_6,AAMP,-7.258724241912858
55,Vienna_AANAT_1-Vienna_AANAT_4,AANAT,-1.4739059043716116
56,Vienna_AANAT_2-Vienna_AANAT_5,AANAT,-0.03589470481202518
57,Vienna_AANAT_3-Vienna_AANAT_6,AANAT,-1.19638713492567
58,Vienna_AAR2_1-Vienna_AAR2_4,AAR2,0.3684595805227127
