sgRNA	gene	vienna_v1_single_top3	TECHDEV0012_Vienna_01_01_17	TECHDEV0012_Vienna_01_01_16
Vienna-A1BG-1	A1BG	126	856	923
Vienna-A1BG-2	A1BG	43	546	302
Vienna-A1BG-3	A1BG	101	600	416
Vienna-A1CF-1	A1CF	59	551	337
Vienna-A1CF-2	A1CF	78	364	442
Vienna-A1CF-3	A1CF	65	399	280
Vienna-A2M-1	A2M	126	1156	908
Vienna-A2M-2	A2M	86	176	412
Vienna-A2M-3	A2M	86	463	426
Vienna-A2ML1-1	A2ML1	6	6	2
Vienna-A2ML1-2	A2ML1	40	264	416
Vienna-A2ML1-3	A2ML1	51	470	377
Vienna-A3GALT2-1	A3GALT2	182	1668	1227
Vienna-A3GALT2-2	A3GALT2	54	405	294
Vienna-A3GALT2-3	A3GALT2	48	313	311
Vienna-A4GALT-1	A4GALT	102	683	681
Vienna-A4GALT-2	A4GALT	75	285	332
Vienna-A4GALT-3	A4GALT	108	82	63
Vienna-A4GNT-1	A4GNT	186	1234	938
Vienna-A4GNT-2	A4GNT	46	337	329
Vienna-A4GNT-3	A4GNT	69	1584	823
Vienna-AAAS-1	AAAS	45	6	0
Vienna-AAAS-2	AAAS	136	535	499
Vienna-AAAS-3	AAAS	87	88	73
Vienna-AACS-1	AACS	160	1099	818
Vienna-AACS-2	AACS	78	502	326
Vienna-AACS-3	AACS	56	351	310
Vienna-AADAC-1	AADAC	55	512	478
Vienna-AADAC-2	AADAC	57	252	178
Vienna-AADAC-3	AADAC	58	492	408
Vienna-AADACL2-1	AADACL2	74	599	519
Vienna-AADACL2-2	AADACL2	98	731	366
Vienna-AADACL2-3	AADACL2	133	667	616
Vienna-AADACL3-1	AADACL3	48	141	188
Vienna-AADACL3-2	AADACL3	95	480	353
Vienna-AADACL3-3	AADACL3	78	287	132
Vienna-AADACL4-1	AADACL4	47	275	216
Vienna-AADACL4-2	AADACL4	65	326	686
Vienna-AADACL4-3	AADACL4	54	470	412
Vienna-AADAT-1	AADAT	85	594	613
Vienna-AADAT-2	AADAT	59	721	389
Vienna-AADAT-3	AADAT	59	316	275
Vienna-AAED1-1	AAED1	40	290	290
Vienna-AAED1-2	AAED1	87	270	254
Vienna-AAED1-3	AAED1	124	1067	585
Vienna-AAGAB-1	AAGAB	74	87	195
Vienna-AAGAB-2	AAGAB	85	115	206
Vienna-AAGAB-3	AAGAB	88	469	380
Vienna-AAK1-1	AAK1	43	47	120
Vienna-AAK1-2	AAK1	132	481	410
Vienna-AAK1-3	AAK1	92	373	313
Vienna-AAMDC-1	AAMDC	72	83	116
Vienna-AAMDC-2	AAMDC	106	515	351
Vienna-AAMDC-3	AAMDC	89	685	406
Vienna-AAMP-1	AAMP	33	104	70
Vienna-AAMP-2	AAMP	91	0	5
Vienna-AAMP-3	AAMP	91	276	110
Vienna-AANAT-1	AANAT	183	1998	1759
Vienna-AANAT-2	AANAT	103	942	672
Vienna-AANAT-3	AANAT	115	533	347
Vienna-AAR2-1	AAR2	102	193	106
Vienna-AAR2-2	AAR2	93	254	507
Vienna-AAR2-3	AAR2	83	447	304
Vienna-AARD-1	AARD	86	172	253
Vienna-AARD-2	AARD	164	2291	1680
Vienna-AARD-3	AARD	69	689	390
Vienna-AARS-1	AARS	30	0	0
Vienna-AARS-2	AARS	65	0	0
Vienna-AARS-3	AARS	94	0	0
Vienna-AARS2-1	AARS2	118	2	0
Vienna-AARS2-2	AARS2	142	10	16
Vienna-AARS2-3	AARS2	46	1	0
Vienna-AARSD1-1	AARSD1	64	344	212
Vienna-AARSD1-2	AARSD1	112	142	216
Vienna-AASDH-1	AASDH	70	511	505
Vienna-AASDH-2	AASDH	72	128	173
Vienna-AASDH-3	AASDH	96	79	5
Vienna-AASDHPPT-1	AASDHPPT	108	0	1
Vienna-AASDHPPT-2	AASDHPPT	47	103	61
Vienna-AASDHPPT-3	AASDHPPT	39	112	43
Vienna-AASS-1	AASS	54	265	317
Vienna-AASS-2	AASS	85	812	792
Vienna-AASS-3	AASS	83	1114	949
Vienna-AATF-1	AATF	70	0	0
Vienna-AATF-2	AATF	128	126	115
Vienna-AATF-3	AATF	109	89	168
Vienna-AATK-1	AATK	43	92	57
Vienna-AATK-2	AATK	84	499	653
Vienna-AATK-3	AATK	57	477	288
Vienna-ABAT-1	ABAT	88	469	453
Vienna-ABAT-2	ABAT	87	749	630
Vienna-ABAT-3	ABAT	118	1027	618
Vienna-ABCA1-1	ABCA1	83	309	186
Vienna-ABCA1-2	ABCA1	76	421	263
Vienna-ABCA1-3	ABCA1	92	195	266
Vienna-ABCA10-1	ABCA10	82	388	266
Vienna-ABCA10-2	ABCA10	45	45	128
Vienna-ABCA10-3	ABCA10	93	543	539
Vienna-ABCA12-1	ABCA12	101	148	330
Vienna-ABCA12-2	ABCA12	91	667	410
Vienna-ABCA12-3	ABCA12	53	410	432
Vienna-ABCA13-1	ABCA13	92	505	677
Vienna-ABCA13-2	ABCA13	65	523	319
Vienna-ABCA13-3	ABCA13	117	471	149
Vienna-ABCA2-1	ABCA2	73	296	140
Vienna-ABCA2-2	ABCA2	112	21	28
Vienna-ABCA2-3	ABCA2	75	245	182
Vienna-ABCA3-1	ABCA3	104	595	550
Vienna-ABCA3-2	ABCA3	69	6	0
Vienna-ABCA3-3	ABCA3	100	400	447
Vienna-ABCA4-1	ABCA4	64	239	161
Vienna-ABCA4-2	ABCA4	69	431	470
Vienna-ABCA4-3	ABCA4	104	96	127
Vienna-ABCA5-1	ABCA5	61	338	431
Vienna-ABCA5-2	ABCA5	59	95	132
Vienna-ABCA5-3	ABCA5	80	269	249
Vienna-ABCA6-1	ABCA6	66	214	135
Vienna-ABCA6-2	ABCA6	131	1135	633
Vienna-ABCA6-3	ABCA6	48	217	369
Vienna-ABCA7-1	ABCA7	87	77	50
Vienna-ABCA7-2	ABCA7	103	512	470
Vienna-ABCA7-3	ABCA7	68	213	176
Vienna-ABCA8-1	ABCA8	58	440	542
Vienna-ABCA8-2	ABCA8	57	267	355
Vienna-ABCA8-3	ABCA8	76	685	406
Vienna-ABCA9-1	ABCA9	45	272	255
Vienna-ABCA9-2	ABCA9	94	736	670
Vienna-ABCA9-3	ABCA9	50	463	214
Vienna-ABCB1-1	ABCB1	82	463	382
Vienna-ABCB1-2	ABCB1	65	368	211
Vienna-ABCB1-3	ABCB1	73	121	219
Vienna-ABCB10-1	ABCB10	92	750	558
Vienna-ABCB10-2	ABCB10	70	565	545
Vienna-ABCB10-3	ABCB10	65	120	149
Vienna-ABCB11-1	ABCB11	37	190	202
Vienna-ABCB11-2	ABCB11	58	101	115
Vienna-ABCB11-3	ABCB11	41	676	221
Vienna-ABCB4-1	ABCB4	94	1026	698
Vienna-ABCB4-2	ABCB4	100	336	240
Vienna-ABCB4-3	ABCB4	68	413	162
Vienna-ABCB5-1	ABCB5	48	404	360
Vienna-ABCB5-2	ABCB5	31	236	251
Vienna-ABCB5-3	ABCB5	35	154	128
Vienna-ABCB6-1	ABCB6	57	523	531
Vienna-ABCB6-2	ABCB6	109	933	552
Vienna-ABCB6-3	ABCB6	91	861	521
Vienna-ABCB7-1	ABCB7	99	94	133
Vienna-ABCB7-2	ABCB7	33	0	0
Vienna-ABCB7-3	ABCB7	88	36	23
Vienna-ABCB8-1	ABCB8	42	449	280
Vienna-ABCB8-2	ABCB8	47	712	458
Vienna-ABCB8-3	ABCB8	41	770	471
Vienna-ABCB9-1	ABCB9	96	469	662
Vienna-ABCB9-2	ABCB9	91	313	359
Vienna-ABCB9-3	ABCB9	98	749	640
Vienna-ABCC1-1	ABCC1	73	488	303
Vienna-ABCC1-2	ABCC1	72	267	397
Vienna-ABCC1-3	ABCC1	84	455	429
Vienna-ABCC10-1	ABCC10	152	881	919
Vienna-ABCC10-2	ABCC10	99	371	554
Vienna-ABCC10-3	ABCC10	54	362	383
Vienna-ABCC11-1	ABCC11	56	20	60
Vienna-ABCC11-2	ABCC11	98	185	398
Vienna-ABCC11-3	ABCC11	79	32	50
Vienna-ABCC12-1	ABCC12	111	403	255
Vienna-ABCC12-2	ABCC12	107	655	532
Vienna-ABCC12-3	ABCC12	57	917	458
Vienna-ABCC2-1	ABCC2	64	216	243
Vienna-ABCC2-2	ABCC2	6	19	12
Vienna-ABCC2-3	ABCC2	60	428	394
Vienna-ABCC3-1	ABCC3	99	915	505
Vienna-ABCC3-2	ABCC3	82	843	567
Vienna-ABCC3-3	ABCC3	92	0	3
Vienna-ABCC4-1	ABCC4	4	7	0
Vienna-ABCC4-2	ABCC4	89	783	513
Vienna-ABCC4-3	ABCC4	48	460	469
Vienna-ABCC5-1	ABCC5	75	256	165
Vienna-ABCC5-2	ABCC5	145	681	576
Vienna-ABCC5-3	ABCC5	109	746	722
Vienna-ABCC6-1	ABCC6	68	20	88
Vienna-ABCC6-2	ABCC6	75	101	104
Vienna-ABCC6-3	ABCC6	149	233	281
Vienna-ABCC8-1	ABCC8	86	402	247
Vienna-ABCC8-2	ABCC8	146	1081	873
Vienna-ABCC8-3	ABCC8	77	396	384
Vienna-ABCC9-1	ABCC9	39	198	97
Vienna-ABCC9-2	ABCC9	46	462	260
Vienna-ABCC9-3	ABCC9	67	350	305
Vienna-ABCD1-1	ABCD1	23	172	73
Vienna-ABCD1-2	ABCD1	72	47	7
Vienna-ABCD1-3	ABCD1	75	142	127
Vienna-ABCD2-1	ABCD2	63	472	358
Vienna-ABCD2-2	ABCD2	82	60	122
Vienna-ABCD2-3	ABCD2	63	146	33
Vienna-ABCD3-1	ABCD3	60	85	55
Vienna-ABCD3-2	ABCD3	62	87	30
Vienna-ABCD3-3	ABCD3	39	72	45
Vienna-ABCD4-1	ABCD4	107	847	572
Vienna-ABCD4-2	ABCD4	64	546	299
Vienna-ABCD4-3	ABCD4	78	306	353
Vienna-ABCE1-1	ABCE1	97	6	0
Vienna-ABCE1-2	ABCE1	98	0	0
Vienna-ABCE1-3	ABCE1	112	0	0
Vienna-ABCF1-1	ABCF1	93	10	39
Vienna-ABCF1-2	ABCF1	176	0	0
Vienna-ABCF1-3	ABCF1	98	10	0
Vienna-ABCF2-1	ABCF2	91	170	151
Vienna-ABCF2-2	ABCF2	79	311	159
Vienna-ABCF2-3	ABCF2	81	704	574
Vienna-ABCF3-1	ABCF3	101	1709	1743
Vienna-ABCF3-2	ABCF3	108	538	440
Vienna-ABCF3-3	ABCF3	95	745	457
Vienna-ABCG1-1	ABCG1	109	790	921
Vienna-ABCG1-2	ABCG1	69	864	833
Vienna-ABCG1-3	ABCG1	74	735	474
Vienna-ABCG2-1	ABCG2	100	839	591
Vienna-ABCG2-2	ABCG2	48	237	272
