Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
A1BG,Brunello A375,3,0.7063595039370436,0.2585164600970572,0.4326113187076748
MRPL57,Brunello A375,4,-4.15329796179493,6.704712792415468e-08,7.303573526649017e-07
MRPL55,Brunello A375,4,-3.81313167724472,7.23926291920703e-06,6.960263599677517e-05
MRPL54,Brunello A375,4,-4.910732042011556,4.322199776508837e-15,6.377850251776089e-14
MRPL53,Brunello A375,4,-4.893885633896016,6.866578408413775e-15,1.0060988053905422e-13
MRPL52,Brunello A375,4,-4.2010929860827835,3.0397391581810626e-08,3.364085793889106e-07
MRPL51,Brunello A375,4,-6.1589763917479745,2.7758563101213384e-35,7.690341729478638e-34
MRPL50,Brunello A375,4,-4.447632394193362,3.004071465116332e-10,3.617055029120972e-09
MRPL49,Brunello A375,4,-3.8197119747453767,6.71489877860722e-06,6.47105993458554e-05
MRPL48,Brunello A375,3,-3.658016536851021,3.6029767093645206e-05,0.0003334676753337999
MRPL47,Brunello A375,4,-3.7730322328359054,1.1302642780922138e-05,0.00010742932192775971
MRPL46,Brunello A375,4,-5.156506505970437,3.072053353606379e-18,5.0567359236656904e-17
MRPL45P2,Brunello A375,1,-2.5375760976128627,0.007561065200982089,0.04602560636969963
MRPL58,Brunello A375,4,-1.5528384764038337,0.07084060428738576,0.25396260727882985
MRPL45,Brunello A375,4,-3.7377315209962187,1.6434282249362837e-05,0.0001548603607247478
MRPL43,Brunello A375,4,-3.7036117745116868,2.323114095128165e-05,0.0002167475868306574
MRPL42,Brunello A375,4,-3.3430253318139265,0.00037728167588454894,0.0029824173816314307
MRPL41,Brunello A375,4,-5.579024172701306,1.345805014723607e-24,2.7889262087987415e-23
MRPL40,Brunello A375,4,-5.440213541755538,2.2400177083805477e-22,4.236891676415061e-21
MRPL4,Brunello A375,4,-4.617488855278193,7.34658451882294e-12,9.523553738232403e-11
MRPL39,Brunello A375,4,-4.253879435092562,1.2203330569615507e-08,1.3784066006048872e-07
MRPL38,Brunello A375,4,-5.1404403444946745,5.0765134844900866e-18,8.297088731995345e-17
MRPL37,Brunello A375,5,-4.8029120913986425,7.757887540348138e-14,1.0950516157699007e-12
MRPL36,Brunello A375,4,-3.2797044565505606,0.0005332739428726145,0.004137629710709561
MRPL35,Brunello A375,4,-2.559979752641777,0.007096505878976878,0.04368340275680264
MRPL34,Brunello A375,4,-3.62495738292984,4.871044354041782e-05,0.0004466590957699133
MRPL33,Brunello A375,4,-2.457596028485785,0.009427822355426553,0.05563110377963836
MRPL44,Brunello A375,4,-6.850003511673456,5.528133249656343e-51,2.578886555882284e-49
MRPL32,Brunello A375,4,-3.8491352166183344,4.763029189533578e-06,4.646019002223893e-05
MRPL9,Brunello A375,4,-1.440927986318282,0.08654575300833604,0.28354821579096406
MRPS11,Brunello A375,4,-2.9626164578876466,0.0020064872888757076,0.014194823030380133
MRPS5,Brunello A375,4,-5.329987116286667,1.051513787783148e-20,1.8603567915489947e-19
MRPS36P1,Brunello A375,1,-1.848510014800134,0.03931026676458143,0.17320826139429926
MRPS35-DT,Brunello A375,4,0.1065235810946521,0.4785301403618591,0.4955299550394547
MRPS35,Brunello A375,4,-4.664723323900194,2.4222049866628795e-12,3.1876278907342105e-11
MRPS34,Brunello A375,4,-3.597610309419696,6.186543445126689e-05,0.000557700272613977
MRPS33,Brunello A375,4,-5.019541989059494,1.9573195432140656e-16,3.0345745466551303e-15
MRPS31,Brunello A375,4,-3.2059794235129226,0.0007650238854620712,0.005796462840831702
MRPS30-DT,Brunello A375,3,-1.5739768635396976,0.06809573413729197,0.24799977393008338
MRPS30,Brunello A375,4,-3.1860683515611874,0.0008375821125367991,0.00623943194895834
MRPS28,Brunello A375,4,-2.2350977050202854,0.0166463771381504,0.09005317803857443
MRPS27,Brunello A375,5,-7.133520465868996,2.317571549719915e-58,1.3506832958955896e-56
MRPS26,Brunello A375,4,-1.594910963212591,0.06544988495757102,0.24226121800875694
MRPS10,Brunello A375,4,-5.476980839827892,5.950004597170078e-23,1.159136663377534e-21
MRPS25,Brunello A375,4,-6.301705878160064,2.919139132987325e-38,8.997867970508784e-37
MRPS23,Brunello A375,4,-3.949070703516165,1.3565481004891425e-06,1.381514428721346e-05
MRPS22,Brunello A375,4,-6.165351534538386,2.0573796307944753e-35,5.7380483375750475e-34
MRPS21,Brunello A375,4,-5.6233804345290626,2.4651325786800227e-25,5.196509466263075e-24
MRPS2,Brunello A375,4,-5.026510345041844,1.5954949101158786e-16,2.479153629564673e-15
MRPS18C,Brunello A375,5,-6.240496044251208,5.745248632654406e-37,1.6812326730099518e-35
MRPS18B,Brunello A375,4,-5.752370571421526,1.4888942275722778e-27,3.334546103215158e-26
MRPS18A,Brunello A375,4,-5.724775376933132,4.539476914283077e-27,1.0005122529509927e-25
