id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Gdpd5	20	7.9806e-06	9.1804e-05	0.136139	1	14	-4.5967	0.8893	0.85421	0.973026	2507	0	-4.5967
Ntm	18	1.0933e-05	9.5268e-05	0.136139	2	9	-3.9192	0.09168	0.094013	0.890629	258	0	-3.9192
Olfr978	18	1.7158e-05	0.00015763	0.150165	3	11	-4.5447	0.16988	0.17585	0.890629	475	0	-4.5447
Scn4b	20	4.7544e-05	0.0004417	0.260396	4	17	-4.494	0.94207	0.92211	0.988044	2666	0	-4.494
Adrb1	20	4.886e-05	0.00045556	0.260396	5	16	-4.4427	0.82507	0.78487	0.963878	2312	0	-4.4427
H2-Ob	20	5.6698e-05	0.00056641	0.269802	6	15	-4.7134	0.58306	0.52725	0.911968	1625	0	-4.7134
Klrb1	19	6.2525e-05	0.00066688	0.272277	7	11	-3.886	0.41581	0.37258	0.890629	1176	0	-3.886
Svopl	20	0.00014752	0.0015364	0.492299	8	16	-4.2674	0.93587	0.91317	0.985216	2644	0	-4.2674
Pth2r	19	0.00015791	0.0015503	0.492299	9	13	-4.2249	0.30119	0.29433	0.890629	837	0	-4.2249
Gprc5b	20	0.00025056	0.0025515	0.618399	10	13	-4.3975	0.69343	0.62508	0.920871	1935	0	-4.3975
Itga9	20	0.00025582	0.0025965	0.618399	11	13	-4.115	0.84627	0.80472	0.963878	2382	0	-4.115
Tnfrsf13b	18	0.00027977	0.002477	0.618399	12	15	-4.5823	0.94005	0.91971	0.987054	2663	0	-4.5823
Rgma	20	0.00033047	0.0032201	0.629703	13	15	-4.4898	0.59794	0.5361	0.911968	1658	0	-4.4898
Asic4	20	0.00034522	0.0033049	0.629703	14	13	-4.4335	0.69343	0.62508	0.920871	1938	0	-4.4335
Cdh3	19	0.00034754	0.0032824	0.629703	15	15	-4.5989	0.95364	0.93745	0.99197	2696	0	-4.5989
Cdhr3	20	0.00038156	0.0035838	0.634488	16	16	-4.5667	0.95769	0.94183	0.99197	2712	0	-4.5667
Pcdhb12	20	0.00042045	0.0039337	0.634488	17	17	-4.2975	0.99874	0.99798	0.99965	2850	0	-4.2975
Lrfn1	20	0.00042361	0.0039961	0.634488	18	15	-4.4645	0.97707	0.96762	0.993293	2781	0	-4.4645
Plxnb1	20	0.00049859	0.0045573	0.685513	19	13	-3.9426	0.95689	0.94088	0.99197	2705	0	-3.9426
Notch1	20	0.00059736	0.0053818	0.68836	20	13	-4.5739	0.79333	0.74013	0.949415	2231	0	-4.5739
Lamp1	20	0.00060662	0.0054684	0.68836	21	15	-4.5574	0.82507	0.78487	0.963878	2323	0	-4.5574
Susd3	20	0.00062594	0.0056156	0.68836	22	13	-4.6423	0.99324	0.9886	0.995919	2837	0	-4.6423
Caly	19	0.00068789	0.0059811	0.68836	23	15	-4.4961	0.45021	0.39795	0.890629	1284	0	-4.4961
Pcdha1	16	0.00071464	0.0054649	0.68836	24	10	-4.0216	0.33664	0.30272	0.890629	967	0	-4.0216
Olfr323	18	0.0007478	0.0062028	0.68836	25	10	-3.9834	0.031102	0.035843	0.863331	88	0	-3.9834
Lrfn4	20	0.00079135	0.0069061	0.68836	26	9	-3.6434	0.25853	0.26354	0.890629	717	0	-3.6434
Ephb3	20	0.00083961	0.0073045	0.68836	27	13	-4.5177	0.92133	0.89347	0.980439	2606	0	-4.5177
Prnp	20	0.00084527	0.0073772	0.68836	28	11	-4.0226	0.21243	0.21518	0.890629	600	0	-4.0226
Calcr	20	0.00085067	0.0074119	0.68836	29	14	-4.5069	0.69343	0.62508	0.920871	1937	0	-4.5069
Tnfrsf11a	20	0.00085829	0.0074708	0.68836	30	12	-4.0171	0.14819	0.16436	0.890629	403	0	-4.0171
Layn	20	0.00087495	0.0076267	0.68836	31	13	-4.1986	0.86784	0.83009	0.971102	2443	0	-4.1986
Fam174a	20	0.00098807	0.0085309	0.68836	32	16	-4.6387	0.52869	0.47244	0.911088	1468	0	-4.6387
Erbb4	20	0.00099376	0.0085343	0.68836	33	9	-3.5871	0.80877	0.75849	0.95623	2270	0	-3.5871
Slc1a4	19	0.00099674	0.0082641	0.68836	34	9	-3.7172	0.67476	0.6087	0.920871	1871	0	-3.7172
Edar	20	0.0010054	0.0085759	0.68836	35	17	-4.3071	0.73376	0.6748	0.936914	2051	0	-4.3071
Rrh	20	0.00108	0.0090782	0.68836	36	15	-4.5879	0.76401	0.70234	0.936914	2136	0	-4.5879
Oxgr1	20	0.0011052	0.0092895	0.68836	37	8	-3.3863	0.42271	0.3756	0.890629	1201	0	-3.3863
Cacna1i	20	0.0011265	0.0094697	0.68836	38	15	-4.5753	0.98532	0.9768	0.994299	2808	0	-4.5753
Plxnb2	20	0.001162	0.009875	0.68836	39	11	-4.335	0.4892	0.42599	0.890629	1365	0	-4.335
Tmem8b	20	0.001163	0.009875	0.68836	40	7	-3.6421	0.91106	0.88055	0.97732	2577	0	-3.6421
Cdh24	19	0.0011798	0.0097295	0.68836	41	13	-4.5971	0.8405	0.7984	0.963878	2363	0	-4.5971
5830411N06Rik	20	0.0012944	0.011143	0.701591	42	14	-4.3155	0.55366	0.50358	0.911968	1546	0	-4.3155
Sv2a	20	0.0012944	0.011143	0.701591	43	13	-4.2457	0.45934	0.4104	0.890629	1295	0	-4.2457
Tspan17	20	0.0013022	0.011164	0.701591	44	11	-4.2042	0.88605	0.84989	0.97237	2498	0	-4.2042
Clstn1	20	0.0013717	0.011593	0.701591	45	11	-4.0388	0.34594	0.32572	0.890629	988	0	-4.0388
Opn5	20	0.0014098	0.011818	0.701591	46	13	-4.5167	0.90809	0.87804	0.97732	2567	0	-4.5167
Tmem132e	19	0.0014225	0.011611	0.701591	47	8	-3.7175	0.31124	0.2998	0.890629	864	0	-3.7175
Il27ra	20	0.0014228	0.011902	0.701591	48	11	-4.1383	0.97555	0.96622	0.993293	2773	0	-4.1383
Sppl2c	20	0.0014951	0.012491	0.701591	49	13	-4.5002	0.85519	0.81323	0.964798	2410	0	-4.5002
Agtr1a	20	0.0015708	0.012937	0.701591	50	15	-4.4375	0.4892	0.42599	0.890629	1355	0	-4.4375
Nlgn3	20	0.0016029	0.013125	0.701591	51	10	-3.891	0.97777	0.96847	0.993293	2783	0	-3.891
H2-Q2	20	0.0016113	0.013142	0.701591	52	15	-4.5495	0.065372	0.058304	0.877019	190	0	-4.5495
P2rx6	20	0.0016851	0.013625	0.701591	53	14	-4.528	0.96665	0.95276	0.99197	2744	0	-4.528
Flrt1	20	0.0017152	0.013894	0.701591	54	15	-4.345	0.071278	0.063944	0.890629	201	0	-4.345
Grid2	20	0.0017848	0.014386	0.701591	55	7	-3.587	0.08329	0.084585	0.890629	240	0	-3.587
Dpp10	20	0.0018051	0.014448	0.701591	56	15	-4.3065	0.11	0.10842	0.890629	305	0	-4.3065
Astn1	20	0.001827	0.014618	0.701591	57	16	-4.5589	0.18687	0.19281	0.890629	519	0	-4.5589
Upk1b	20	0.0018398	0.01469	0.701591	58	12	-3.9717	0.75691	0.69768	0.936914	2125	0	-3.9717
Cntnap1	20	0.0018524	0.014824	0.701591	59	14	-4.4998	0.98984	0.98343	0.995265	2824	0	-4.4998
Tspan18	20	0.0018534	0.014826	0.701591	60	8	-3.6367	0.67991	0.61494	0.920871	1879	0	-3.6367
Ret	20	0.0018702	0.014974	0.701591	61	16	-4.2195	0.66705	0.59359	0.918006	1848	0	-4.2195
Cdcp1	20	0.0019271	0.015311	0.702617	62	14	-4.3498	0.80346	0.75275	0.953615	2257	0	-4.3498
Slc38a8	20	0.0019859	0.015813	0.702617	63	13	-4.5654	0.20725	0.20885	0.890629	583	0	-4.5654
Fgfr1	20	0.0020101	0.015981	0.702617	64	15	-4.4018	0.99895	0.9983	0.99965	2851	0	-4.4018
Tril	20	0.0021182	0.016575	0.702617	65	12	-3.8651	0.91403	0.88342	0.977853	2585	0	-3.8651
Acvr2b	18	0.00212	0.015941	0.702617	66	14	-4.2351	0.97449	0.96276	0.993293	2771	0	-4.2351
D430041D05Rik	20	0.0021895	0.017018	0.702617	67	14	-4.3233	0.94207	0.92211	0.988044	2664	0	-4.3233
Olfr297	20	0.0022128	0.017138	0.702617	68	15	-4.22	0.97949	0.97045	0.993293	2788	0	-4.22
Acvr1c	20	0.0022224	0.017174	0.702617	69	15	-4.4018	0.73924	0.67894	0.936914	2064	0	-4.4018
Cnnm4	20	0.0022275	0.017209	0.702617	70	10	-3.8839	0.32463	0.31199	0.890629	914	0	-3.8839
Clec1b	20	0.0024719	0.018718	0.717558	71	12	-4	0.88605	0.84989	0.97237	2494	0	-4
Mfsd5	20	0.0024757	0.018745	0.717558	72	13	-4.052	0.42271	0.3756	0.890629	1192	0	-4.052
Slc38a1	20	0.0024867	0.018751	0.717558	73	10	-3.7117	0.67377	0.60527	0.920871	1862	0	-3.7117
P2ry12	20	0.0024906	0.01883	0.717558	74	12	-4.2134	0.50962	0.44352	0.892668	1417	0	-4.2134
Slc5a7	18	0.0025223	0.018664	0.717558	75	11	-4.1292	0.94775	0.92884	0.989061	2684	0	-4.1292
Olfr1511	20	0.0025722	0.019343	0.727397	76	16	-4.3032	0.041228	0.043122	0.863331	118	0	-4.3032
Ffar4	20	0.0026773	0.020064	0.727428	77	14	-4.4805	0.7201	0.66193	0.936914	2015	0	-4.4805
Tmem132c	20	0.0027191	0.020315	0.727428	78	15	-4.3304	0.9812	0.97282	0.993677	2795	0	-4.3304
Abcc10	20	0.0027781	0.020701	0.727428	79	13	-4.4348	0.65145	0.5823	0.915432	1806	0	-4.4348
Slc5a5	20	0.0027978	0.020789	0.727428	80	14	-4.5015	0.77522	0.7199	0.945838	2167	0	-4.5015
Hbegf	18	0.0028273	0.020687	0.727428	81	13	-4.4474	0.90528	0.8742	0.97732	2550	0	-4.4474
Il23r	19	0.0028387	0.021368	0.727428	82	15	-4.3423	0.45021	0.39795	0.890629	1283	0	-4.3423
Podxl	20	0.0028481	0.021189	0.727428	83	9	-3.7501	0.15587	0.17117	0.890629	441	0	-3.7501
Dpep3	20	0.002917	0.02138	0.727428	84	13	-4.1943	0.85519	0.81323	0.964798	2407	0	-4.1943
Astn2	20	0.0030239	0.022426	0.731199	85	9	-3.7515	0.52869	0.47244	0.911088	1486	0	-3.7515
Fzd1	20	0.0030738	0.022688	0.731199	86	12	-4.3567	0.53675	0.48458	0.911968	1507	0	-4.3567
Mmp17	20	0.0030915	0.022807	0.731199	87	9	-3.5843	0.4816	0.42006	0.890629	1331	0	-3.5843
Tmem235	19	0.0031171	0.022838	0.731199	88	13	-4.2848	0.51858	0.46844	0.911088	1434	0	-4.2848
Abca4	20	0.0031538	0.023168	0.731199	89	10	-3.8006	0.11	0.10842	0.890629	309	0	-3.8006
Crb2	20	0.0033713	0.024709	0.731199	90	10	-3.9155	0.72793	0.67059	0.936914	2029	0	-3.9155
Shisa7	20	0.0033927	0.024785	0.731199	91	15	-4.4658	0.66002	0.5884	0.915432	1825	0	-4.4658
Kcnv2	20	0.0034183	0.024917	0.731199	92	10	-3.7778	0.98532	0.9768	0.994299	2807	0	-3.7778
Olfr1465	20	0.0034852	0.025374	0.731199	93	7	-3.6555	0.19597	0.20248	0.890629	547	0	-3.6555
Slc45a4	20	0.0035206	0.025473	0.731199	94	15	-4.3013	0.69343	0.62508	0.920871	1917	0	-4.3013
Pigr	20	0.0035511	0.025755	0.731199	95	16	-4.2436	0.20364	0.20725	0.890629	580	0	-4.2436
Slc6a1	19	0.0035533	0.025354	0.731199	96	11	-3.9813	0.57127	0.5164	0.911968	1587	0	-3.9813
Disp1	20	0.0036736	0.026268	0.731199	97	12	-4.2158	0.35081	0.32861	0.890629	1001	0	-4.2158
Cmklr1	20	0.003691	0.026559	0.731199	98	10	-3.6421	0.27927	0.28403	0.890629	794	0	-3.6421
Chrna10	20	0.0038165	0.027231	0.731199	99	12	-4.077	0.97106	0.95867	0.99197	2753	0	-4.077
