id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Scn4b	20	5.3516e-06	6.0625e-05	0.111386	1	17	-4.7105	0.94191	0.92066	0.982358	2678	0	-4.7105
Ntm	18	1.1023e-05	7.7947e-05	0.111386	2	9	-3.9192	0.089355	0.077129	0.803873	251	0	-3.9192
Olfr978	18	1.6182e-05	0.00013338	0.127063	3	11	-4.5447	0.16787	0.16205	0.859701	472	0	-4.5447
Gdpd5	20	1.6546e-05	0.0001888	0.134901	4	14	-4.5628	0.88925	0.85077	0.965529	2520	0	-4.5628
Klrb1	19	2.8235e-05	0.00031698	0.181188	5	11	-3.9569	0.41685	0.36097	0.859701	1185	0	-3.9569
Adrb1	20	4.8583e-05	0.00048674	0.229844	6	16	-4.4427	0.82491	0.77542	0.950724	2323	0	-4.4427
H2-Ob	20	5.5976e-05	0.00056295	0.229844	7	15	-4.7134	0.58349	0.51911	0.893438	1632	0	-4.7134
Tnfrsf13b	18	0.00013637	0.0012194	0.435644	8	15	-4.6158	0.93999	0.91919	0.982358	2674	0	-4.6158
Pth2r	19	0.00015791	0.0014948	0.474697	9	13	-4.2249	0.29984	0.28257	0.859701	839	0	-4.2249
Pcdhb12	20	0.00017305	0.0017096	0.488614	10	17	-4.3206	0.99873	0.99796	0.999613	2851	0	-4.3206
Itga9	20	0.00025126	0.002503	0.609571	11	13	-4.115	0.84582	0.79654	0.952925	2391	0	-4.115
Rgma	20	0.00031663	0.0030261	0.609571	12	15	-4.4898	0.59842	0.52812	0.893438	1678	0	-4.4898
Asic4	20	0.00033106	0.0031213	0.609571	13	13	-4.2459	0.69267	0.61215	0.899961	1941	0	-4.2459
Cdh3	19	0.00033644	0.00313	0.609571	14	16	-4.5989	0.9777	0.96723	0.991919	2785	0	-4.5989
Svopl	20	0.00034271	0.0031993	0.609571	15	16	-4.3475	0.93571	0.91191	0.979893	2656	0	-4.3475
Cdhr3	20	0.00037596	0.0034712	0.612988	16	16	-4.5735	0.95765	0.94125	0.98828	2722	0	-4.5735
Lrfn1	20	0.00039402	0.0036462	0.612988	17	15	-4.5538	0.97687	0.96713	0.991919	2783	0	-4.5538
Plxnb1	20	0.00049859	0.0044118	0.643894	18	13	-3.9426	0.97847	0.96904	0.991919	2791	0	-3.9426
Trpv4	20	0.0005591	0.0049245	0.643894	19	17	-4.2702	0.69267	0.61215	0.899961	1925	0	-4.2702
Susd3	20	0.00062848	0.0055706	0.643894	20	13	-4.5499	0.99315	0.98845	0.995419	2838	0	-4.5499
Lamp1	20	0.00063236	0.0056382	0.643894	21	15	-4.5574	0.82491	0.77542	0.950724	2326	0	-4.5574
Pcdha1	16	0.00065867	0.0050873	0.643894	22	10	-4.0216	0.338	0.29371	0.859701	975	0	-4.0216
Epha3	20	0.00067138	0.005898	0.643894	23	11	-4.0536	0.44002	0.383	0.859701	1252	0	-4.0536
Caly	19	0.00067283	0.0057629	0.643894	24	14	-4.4812	0.45084	0.3856	0.860965	1294	0	-4.4812
Gprc5b	20	0.00070325	0.0062479	0.643894	25	13	-4.3975	0.14275	0.14149	0.859701	399	0	-4.3975
Olfr323	18	0.0007478	0.0061821	0.643894	26	9	-3.9703	0.028485	0.025208	0.691901	81	0	-3.9703
Ror1	20	0.0008193	0.0070828	0.643894	27	9	-3.8393	0.068796	0.052273	0.754525	198	0	-3.8393
Tnfrsf11a	20	0.00083445	0.0071798	0.643894	28	12	-4.2627	0.14591	0.14675	0.859701	402	0	-4.2627
Ephb3	20	0.0008347	0.0071902	0.643894	29	14	-4.5835	0.92118	0.89243	0.975355	2617	0	-4.5835
Calcr	20	0.00083914	0.0072387	0.643894	30	14	-4.5639	0.69267	0.61215	0.899961	1938	0	-4.5639
Agtr1a	20	0.00087299	0.0074898	0.643894	31	15	-4.6154	0.48999	0.4163	0.864664	1366	0	-4.6154
Slc1a4	19	0.00094594	0.007883	0.643894	32	9	-3.7172	0.67399	0.5958	0.899961	1884	0	-3.7172
Erbb4	20	0.00096586	0.0083195	0.643894	33	9	-3.5871	0.41746	0.35853	0.859701	1186	0	-3.5871
Fam174a	20	0.00097753	0.0083888	0.643894	34	16	-4.4978	0.52942	0.46351	0.886569	1492	0	-4.4978
Edar	20	0.00099494	0.0085031	0.643894	35	17	-4.3071	0.73281	0.66504	0.921069	2049	0	-4.3071
Olfr202	20	0.0010315	0.008756	0.643894	36	12	-4.0623	0.75045	0.68359	0.921069	2110	0	-4.0623
Rrh	20	0.0010763	0.0090228	0.643894	37	15	-4.6305	0.76338	0.69193	0.921069	2151	0	-4.6305
Oxgr1	20	0.0010884	0.0090713	0.643894	38	8	-3.3863	0.42389	0.365	0.859701	1190	0	-3.3863
