id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Scn4b	20	5.8579e-06	5.7161e-05	0.107261	1	17	-4.8887	0.94031	0.92056	0.986842	2665	0	-4.8887
Gdpd5	20	9.5053e-06	9.8733e-05	0.107261	2	14	-4.5967	0.88651	0.8512	0.971537	2501	0	-4.5967
Ntm	18	1.3567e-05	0.00011259	0.107261	3	9	-3.9192	0.084274	0.080637	0.879609	238	0	-3.9192
Olfr978	18	2.0552e-05	0.0001888	0.134901	4	11	-4.5447	0.16333	0.16532	0.882295	458	0	-4.5447
Adrb1	20	5.3688e-05	0.00048674	0.251061	5	16	-4.4427	0.82154	0.77817	0.960285	2310	0	-4.4427
Svopl	20	6.4542e-05	0.00061145	0.251061	6	16	-4.4437	0.93405	0.91244	0.984427	2644	0	-4.4437
H2-Ob	20	6.5023e-05	0.00061491	0.251061	7	15	-4.7134	0.57811	0.52108	0.90617	1616	0	-4.7134
Tnfrsf13b	18	0.00015435	0.0014065	0.479098	8	15	-4.678	0.93838	0.91856	0.98619	2662	0	-4.678
Pth2r	19	0.00015791	0.0015087	0.479098	9	13	-4.2249	0.29577	0.28551	0.882295	823	0	-4.2249
Pcdhb12	20	0.00019065	0.0018759	0.5045	10	17	-4.3206	0.99866	0.9979	0.999607	2850	0	-4.3206
Ror1	20	0.00019617	0.0019417	0.5045	11	8	-3.8393	0.064748	0.059995	0.879609	189	0	-3.8393
Gprc5b	20	0.00025964	0.0025099	0.597772	12	13	-4.3975	0.68814	0.61532	0.910668	1915	0	-4.3975
Itga9	20	0.0003024	0.0029464	0.608911	13	13	-3.9684	0.84281	0.79903	0.961935	2370	0	-3.9684
Klrb1	19	0.0003722	0.0034556	0.608911	14	11	-3.9569	0.41105	0.36466	0.882295	1168	0	-3.9569
Rgma	20	0.00037547	0.0034938	0.608911	15	15	-4.4898	0.59308	0.53007	0.90617	1655	0	-4.4898
Cdh3	19	0.00037947	0.0035007	0.608911	16	16	-4.5989	0.97694	0.96762	0.993624	2781	0	-4.5989
Asic4	20	0.00039343	0.0036219	0.608911	17	13	-4.4335	0.68814	0.61532	0.910668	1916	0	-4.4335
Cdhr3	20	0.00043018	0.0039441	0.626238	18	16	-4.5735	0.95635	0.94055	0.992009	2706	0	-4.5735
Plxnb1	20	0.00049859	0.0045781	0.654208	19	12	-3.9426	0.97775	0.96903	0.993624	2786	0	-3.9426
Pcdha1	16	0.00057891	0.0044707	0.654208	20	10	-4.0216	0.33201	0.29571	0.882295	959	0	-4.0216
Lrfn1	20	0.00058731	0.0052121	0.678668	21	15	-4.5538	0.97613	0.96695	0.993624	2777	0	-4.5538
Trpv4	20	0.0005881	0.0052242	0.678668	22	17	-4.3772	0.68814	0.61532	0.910668	1929	0	-4.3772
