id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Scn4b	20	6.0559e-06	6.0625e-05	0.117162	1	17	-4.8431	0.94018	0.91973	0.986556	2663	0	-4.8431
Gdpd5	20	1.0624e-05	0.00011259	0.117162	2	14	-4.5967	0.88626	0.84954	0.970034	2502	0	-4.5967
Ntm	18	1.4652e-05	0.00012298	0.117162	3	9	-3.9192	0.083172	0.073726	0.813139	237	0	-3.9192
Olfr978	18	2.139e-05	0.00019227	0.137376	4	11	-4.5447	0.16181	0.159	0.866293	454	0	-4.5447
Adrb1	20	5.4477e-05	0.00050752	0.26662	5	16	-4.4427	0.82135	0.77563	0.957151	2309	0	-4.4427
H2-Ob	20	6.617e-05	0.00063916	0.26662	6	15	-4.7134	0.57781	0.51524	0.896706	1619	0	-4.7134
Svopl	20	6.7763e-05	0.00065302	0.26662	7	16	-4.4437	0.9339	0.91089	0.984375	2643	0	-4.4437
Prnp	20	0.0001045	0.0010272	0.366955	8	11	-4.0226	0.20391	0.19553	0.866293	580	0	-4.0226
Tnfrsf13b	18	0.00015713	0.0014619	0.429208	9	15	-4.678	0.93821	0.91787	0.986193	2660	0	-4.678
Pth2r	19	0.00015791	0.0015018	0.429208	10	13	-4.2249	0.29373	0.27737	0.866293	821	0	-4.2249
Pcdhb12	20	0.00019087	0.0018932	0.491899	11	17	-4.3206	0.99867	0.99785	0.999589	2850	0	-4.3206
Klrb1	19	0.00026557	0.0024129	0.57467	12	11	-3.9569	0.40971	0.35739	0.866293	1167	0	-3.9569
Gprc5b	20	0.00027852	0.0027351	0.601295	13	13	-4.3975	0.6877	0.61078	0.905623	1909	0	-4.3975
Itga9	20	0.00031605	0.0030919	0.623527	14	13	-4.115	0.84258	0.79755	0.958809	2372	0	-4.115
Cdh3	19	0.00038669	0.0035804	0.623527	15	16	-4.5989	0.97684	0.96708	0.993354	2781	0	-4.5989
Rgma	20	0.0003957	0.0036704	0.623527	16	15	-4.4898	0.5928	0.52434	0.896706	1661	0	-4.4898
Asic4	20	0.00041351	0.0038107	0.623527	17	13	-4.4335	0.6877	0.61078	0.905623	1923	0	-4.4335
Cdhr3	20	0.00043494	0.0039874	0.623527	18	16	-4.5735	0.95617	0.94005	0.990891	2709	0	-4.5735
Ror1	20	0.00048953	0.0044811	0.623527	19	8	-3.8393	0.063499	0.052354	0.802217	188	0	-3.8393
Plxnb1	20	0.00049859	0.0045815	0.623527	20	12	-3.9426	0.97765	0.96884	0.993354	2784	0	-3.9426
Lrfn1	20	0.00049924	0.0045815	0.623527	21	15	-4.5538	0.97602	0.96675	0.993354	2779	0	-4.5538
Trpv4	20	0.0005887	0.0053125	0.665062	22	17	-4.3772	0.6877	0.61078	0.905623	1933	0	-4.3772
Notch1	20	0.00068298	0.006092	0.665062	23	13	-4.5739	0.78913	0.72899	0.93891	2218	0	-4.5739
Susd3	20	0.00072363	0.0064211	0.665062	24	13	-4.6188	0.99282	0.98826	0.995575	2836	0	-4.6188
Lamp1	20	0.00073923	0.0065008	0.665062	25	15	-4.5574	0.82135	0.77563	0.957151	2305	0	-4.5574
Olfr323	18	0.0007478	0.0063068	0.665062	26	10	-4.0674	0.025569	0.025218	0.66405	73	0	-4.0674
Caly	19	0.00076571	0.0065666	0.665062	27	15	-4.5789	0.44427	0.3833	0.867081	1273	0	-4.5789
Pcdha1	16	0.00080277	0.0060677	0.665062	28	10	-4.0028	0.33055	0.28894	0.866293	955	0	-4.0028
Epha3	20	0.00082622	0.0072941	0.665062	29	11	-4.0536	0.008444	0.0041	0.468713	25	0	-4.0536
Lrfn4	20	0.00093719	0.0080666	0.665062	30	9	-3.6434	0.25023	0.24514	0.866293	705	0	-3.6434
Ephb3	20	0.00094548	0.0081082	0.665062	31	14	-4.5835	0.91892	0.89005	0.97762	2604	0	-4.5835
Calcr	20	0.00097348	0.0083524	0.665062	32	14	-4.6561	0.6877	0.61078	0.905623	1920	0	-4.6561
Agtr1a	20	0.0010053	0.0086053	0.665062	33	15	-4.6154	0.48364	0.41142	0.867081	1344	0	-4.6154
Tnfrsf11a	20	0.0010252	0.0087422	0.665062	34	12	-4.2627	0.1393	0.14346	0.866293	386	0	-4.2627
Layn	20	0.0010515	0.0089708	0.665062	35	12	-4.0253	0.86469	0.82403	0.966387	2433	0	-4.0253
Edar	20	0.0010889	0.009196	0.665062	36	17	-4.2564	0.72861	0.66247	0.924572	2030	0	-4.2564
Clstn1	20	0.0010893	0.0092185	0.665062	37	11	-4.0388	0.33902	0.31168	0.866293	985	0	-4.0388
Fam174a	20	0.0011208	0.0094385	0.665062	38	16	-4.5648	0.5232	0.4613	0.895048	1462	0	-4.5648
Slc1a4	19	0.0011308	0.0092999	0.665062	39	9	-3.7172	0.66899	0.59426	0.905623	1867	0	-3.7172
Erbb4	20	0.0011316	0.0095286	0.665062	40	9	-3.5871	0.8049	0.74821	0.946182	2263	0	-3.5871
Astn1	20	0.001163	0.0097434	0.665062	41	16	-4.5589	0.17809	0.17421	0.866293	501	0	-4.5589
Rrh	20	0.0012284	0.010169	0.665062	42	15	-4.4663	0.75916	0.68957	0.926117	2122	0	-4.4663
Cacna1i	20	0.0012337	0.010173	0.665062	43	15	-4.5753	0.98462	0.97631	0.994757	2805	0	-4.5753
Olfr202	20	0.0012633	0.01045	0.665062	44	12	-4.0623	0.74561	0.68052	0.926117	2088	0	-4.0623
Cdh24	19	0.0013173	0.010651	0.665062	45	13	-4.5971	0.83688	0.79154	0.958809	2354	0	-4.5971
Oxgr1	20	0.0013283	0.011046	0.665062	46	8	-3.3863	0.41626	0.35972	0.866293	1184	0	-3.3863
Plxnb2	20	0.0013934	0.011569	0.665062	47	11	-4.335	0.48364	0.41142	0.867081	1355	0	-4.335
Cckbr	20	0.0014081	0.011586	0.665062	48	9	-3.8109	0.46119	0.39792	0.867081	1293	0	-3.8109
Sppl2c	20	0.0014951	0.012269	0.665062	49	13	-4.5002	0.85173	0.80668	0.96014	2398	0	-4.5002
Sv2a	20	0.0015069	0.012328	0.665062	50	13	-4.3367	0.45319	0.39543	0.867081	1284	0	-4.3367
5830411N06Rik	20	0.0015069	0.012328	0.665062	51	14	-4.319	0.54814	0.49095	0.896706	1537	0	-4.319
Tspan17	20	0.0015602	0.012726	0.665062	52	11	-4.2042	0.88301	0.84511	0.969203	2486	0	-4.2042
Opn5	20	0.0016043	0.013088	0.665062	53	13	-4.5167	0.9056	0.87415	0.973615	2564	0	-4.5167
Il27ra	20	0.0017015	0.01361	0.665062	54	11	-4.1383	0.97449	0.9653	0.993354	2772	0	-4.1383
Tspan18	20	0.0017412	0.013824	0.665062	55	8	-3.6367	0.67468	0.60179	0.905623	1878	0	-3.6367
Slc31a1	18	0.0017495	0.013623	0.665062	56	10	-4.6247	0.20275	0.19366	0.866293	569	0	-4.6247
H2-Q2	20	0.0017788	0.014152	0.665062	57	15	-4.5917	0.057232	0.042961	0.709724	173	0	-4.5917
Tmem8b	20	0.001827	0.014365	0.665062	58	7	-3.6421	0.90855	0.8767	0.973615	2577	0	-3.6421
Flrt1	20	0.001866	0.01459	0.665062	59	15	-4.345	0.063499	0.052354	0.802217	184	0	-4.345
P2rx6	20	0.0019119	0.014952	0.665062	60	14	-4.6152	0.9654	0.95132	0.990891	2738	0	-4.6152
Nlgn3	20	0.0019207	0.01502	0.665062	61	10	-3.891	0.97675	0.96769	0.993354	2780	0	-3.891
Dpp10	20	0.0019591	0.015224	0.665062	62	15	-4.3633	0.10073	0.086208	0.813139	287	0	-4.3633
Tmem132e	19	0.0019652	0.015224	0.665062	63	8	-3.7175	0.30433	0.28591	0.866293	853	0	-3.7175
Olfr1217	20	0.0020017	0.015543	0.665062	64	13	-4.3781	0.27903	0.26927	0.866293	786	0	-4.3781
Ret	20	0.0020236	0.015686	0.665062	65	16	-4.188	0.66181	0.58152	0.901288	1839	0	-4.188
Cdcp1	20	0.0020971	0.016178	0.665062	66	14	-4.3498	0.79952	0.74218	0.943567	2241	0	-4.3498
Cntnap1	20	0.002114	0.016249	0.665062	67	14	-4.4998	0.98926	0.98277	0.995302	2821	0	-4.4998
H2-K1	19	0.0021575	0.016623	0.665062	68	14	-4.2848	0.43643	0.38101	0.866293	1249	0	-4.2848
Fgfr1	20	0.0021589	0.016502	0.665062	69	15	-4.4018	0.99889	0.99814	0.999589	2851	0	-4.4018
Upk1b	20	0.0021928	0.016816	0.665062	70	12	-4.0478	0.75201	0.68475	0.926117	2112	0	-4.0478
Slc38a8	20	0.0022152	0.016937	0.665062	71	13	-4.5654	0.38457	0.34135	0.866293	1100	0	-4.5654
Grid2	20	0.002226	0.016987	0.665062	72	7	-3.587	0.074063	0.065784	0.813139	218	0	-3.587
Pcdhac1	16	0.0022388	0.015757	0.665062	73	10	-4.1491	0.78762	0.73651	0.943567	2215	0	-4.1491
Acvr2b	18	0.0023245	0.017261	0.666644	74	14	-4.2351	0.97336	0.96217	0.993101	2769	0	-4.2351
Olfr297	20	0.0023919	0.017997	0.671617	75	15	-4.22	0.9785	0.96992	0.993354	2788	0	-4.22
Acvr1c	20	0.002433	0.018169	0.671617	76	15	-4.4851	0.73419	0.66673	0.924572	2052	0	-4.4851
Mmp17	20	0.0024691	0.018567	0.671617	77	9	-3.5843	0.47569	0.40533	0.867081	1326	0	-3.5843
P2ry12	20	0.0024906	0.01864	0.671617	78	12	-4.0627	0.50401	0.43179	0.873969	1403	0	-4.0627
Tril	20	0.0025331	0.018924	0.671617	79	11	-3.8721	0.91151	0.87966	0.974064	2584	0	-3.8721
D430041D05Rik	20	0.0025563	0.019062	0.671617	80	14	-4.3233	0.94018	0.91973	0.986556	2664	0	-4.3233
Gja4	17	0.0025988	0.018188	0.671617	81	14	-4.323	0.9035	0.87687	0.973615	2553	0	-4.323
Cnnm4	20	0.0026375	0.019568	0.671617	82	10	-3.8839	0.31749	0.29769	0.866293	900	0	-3.8839
Slc6a1	19	0.002743	0.020462	0.671617	83	11	-3.9813	0.566	0.50456	0.896706	1580	0	-3.9813
Olfr1511	20	0.0027928	0.020471	0.671617	84	16	-4.3554	0.034819	0.029587	0.66405	100	0	-4.3554
Mfsd5	20	0.0028122	0.020611	0.671617	85	13	-4.052	0.41626	0.35972	0.866293	1173	0	-4.052
Clec1b	20	0.0028946	0.021247	0.671617	86	12	-4.002	0.88301	0.84511	0.969203	2490	0	-4.002
Hbegf	18	0.0028987	0.02128	0.671617	87	13	-4.3736	0.90274	0.87108	0.973615	2546	0	-4.3736
Grin3b	20	0.0029457	0.021494	0.671617	88	12	-4.2118	0.34827	0.31607	0.866293	1004	0	-4.2118
Ffar4	20	0.0029542	0.021545	0.671617	89	14	-4.4805	0.715	0.6491	0.924572	2004	0	-4.4805
Tmem132c	20	0.0029678	0.021661	0.671617	90	15	-4.4671	0.98027	0.97215	0.993709	2793	0	-4.4671
Gprc5c	20	0.0029762	0.021726	0.671617	91	14	-4.3091	0.86037	0.81765	0.963581	2419	0	-4.3091
Ly6g6c	20	0.0029809	0.021737	0.671617	92	15	-4.2972	0.73947	0.67289	0.924572	2077	0	-4.2972
Slc5a7	18	0.0029967	0.021855	0.671617	93	11	-4.1292	0.94593	0.92709	0.987925	2682	0	-4.1292
Abcc10	20	0.0030352	0.022149	0.673425	94	13	-4.4348	0.64591	0.56997	0.899395	1788	0	-4.4348
Il23r	19	0.0030582	0.022456	0.67556	95	15	-4.3423	0.44427	0.3833	0.867081	1274	0	-4.3423
Abca4	20	0.0031538	0.023015	0.675844	96	10	-3.8006	0.10073	0.086208	0.813139	292	0	-3.8006
Podxl	20	0.0031589	0.023019	0.675844	97	9	-3.7501	0.14676	0.15042	0.866293	423	0	-3.7501
Slc5a5	20	0.003171	0.023174	0.675844	98	14	-4.5015	0.77058	0.70786	0.935616	2157	0	-4.5015
Slc38a1	20	0.0033325	0.024238	0.69698	99	10	-3.8876	0.66851	0.59175	0.905623	1858	0	-3.8876
Dpep3	20	0.0033544	0.024387	0.69698	100	13	-4.2701	0.85173	0.80668	0.96014	2399	0	-4.2701
Fzd1	20	0.0034687	0.025089	0.703499	101	12	-4.5393	0.5312	0.47143	0.896706	1489	0	-4.5393
Olfr1465	20	0.0034852	0.025354	0.703499	102	7	-3.716	0.18756	0.18575	0.866293	527	0	-3.716
Tmem235	19	0.0035159	0.025234	0.703499	103	13	-4.2848	0.5131	0.45557	0.895048	1426	0	-4.2848
Astn2	20	0.0036663	0.026438	0.722366	104	8	-3.7515	0.5232	0.4613	0.895048	1478	0	-3.7515
Shisa7	20	0.0037179	0.026938	0.722366	105	15	-4.4658	0.65467	0.5762	0.899395	1821	0	-4.4658
Chrna10	20	0.0038165	0.027352	0.722366	106	11	-4.077	0.96987	0.95751	0.991287	2757	0	-4.077
Pigr	20	0.003841	0.027494	0.722366	107	16	-4.2436	0.19543	0.19061	0.866293	553	0	-4.2436
Kcnv2	20	0.0039261	0.028059	0.722366	108	10	-3.7778	0.98462	0.97631	0.994757	2806	0	-3.7778
Il17rb	20	0.0039361	0.028083	0.722366	109	13	-4.4367	0.35761	0.32045	0.866293	1019	0	-4.4367
Crb2	20	0.0040452	0.028645	0.722366	110	10	-3.9155	0.72267	0.65809	0.924572	2018	0	-3.9155
Plxdc1	20	0.0041477	0.029292	0.722366	111	8	-3.5678	0.92718	0.90088	0.980843	2627	0	-3.5678
Disp1	20	0.0041636	0.029306	0.722366	112	12	-4.2158	0.9493	0.93194	0.990147	2690	0	-4.2158
Tnfrsf8	20	0.0042486	0.029989	0.722366	113	12	-4.3317	0.39445	0.34661	0.866293	1137	0	-4.3317
Lmbrd2	20	0.0042829	0.030188	0.722366	114	14	-4.3924	0.5928	0.52434	0.896706	1646	0	-4.3924
Cd248	20	0.0043466	0.030545	0.722366	115	15	-4.5142	0.96987	0.95751	0.991287	2756	0	-4.5142
Cdh4	20	0.0043479	0.030687	0.722366	116	14	-4.4028	0.53963	0.48021	0.896706	1507	0	-4.4028
Cmklr1	20	0.0044093	0.030948	0.722366	117	10	-3.8628	0.27095	0.26609	0.866293	773	0	-3.8628
Megf9	20	0.0044343	0.031014	0.722366	118	16	-4.2638	0.5232	0.4613	0.895048	1468	0	-4.2638
Gsg1	20	0.004545	0.03184	0.722366	119	10	-3.8419	0.35761	0.32045	0.866293	1020	0	-3.8419
Lrtm2	20	0.0045529	0.031967	0.722366	120	10	-3.8715	0.17033	0.16239	0.866293	483	0	-3.8715
Adcy2	20	0.0045886	0.032237	0.722366	121	11	-3.966	0.6877	0.61078	0.905623	1925	0	-3.966
Tspan15	20	0.0045931	0.032244	0.722366	122	11	-3.9416	0.98926	0.98277	0.995302	2820	0	-3.9416
Tmem255b	20	0.0046908	0.032715	0.722366	123	14	-4.4415	0.74561	0.68052	0.926117	2089	0	-4.4415
Il17re	20	0.0047438	0.033034	0.722366	124	12	-4.1698	0.45748	0.39668	0.867081	1289	0	-4.1698
Il2rb	20	0.0047438	0.033034	0.722366	125	14	-4.1025	0.86856	0.82982	0.968006	2443	0	-4.1025
Ddr1	20	0.0047516	0.033121	0.722366	126	15	-4.3188	0.82683	0.78204	0.958636	2328	0	-4.3188
Fap	20	0.0048099	0.033356	0.722366	127	12	-4.0137	0.47569	0.40533	0.867081	1321	0	-4.0137
Gpc5	20	0.004822	0.033496	0.722366	128	14	-4.5073	0.94242	0.92225	0.986556	2667	0	-4.5073
Gm5150	18	0.0048318	0.032736	0.722366	129	12	-4.4652	0.38398	0.33011	0.866293	1095	0	-4.4652
Serinc2	19	0.0048668	0.033765	0.722366	130	10	-3.9158	0.014585	0.011777	0.66405	38	0	-3.9158
Olfr1466	20	0.0049008	0.033869	0.722366	131	11	-4.2453	0.90019	0.86765	0.973615	2543	0	-4.2453
Slc41a1	20	0.0049548	0.034127	0.722479	132	14	-4.3203	0.7654	0.69763	0.930788	2148	0	-4.3203
Pcdhgb1	18	0.0049692	0.033287	0.722366	133	12	-4.2033	0.18555	0.17875	0.866293	523	0	-4.2033
Gabra4	19	0.0049939	0.03453	0.724187	134	8	-3.5512	0.66899	0.59426	0.905623	1866	0	-3.5512
Olfr287	18	0.0049955	0.033571	0.722366	135	8	-3.6301	0.6261	0.54646	0.899395	1739	0	-3.6301
Upk1a	18	0.0050031	0.033645	0.722366	136	12	-4.2757	0.85135	0.81028	0.960893	2397	0	-4.2757
Mep1b	20	0.0051214	0.03505	0.724187	137	14	-4.2929	0.81563	0.76778	0.955295	2297	0	-4.2929
Mfsd12	20	0.0051408	0.035171	0.724187	138	13	-4.0266	0.46119	0.39792	0.867081	1290	0	-4.0266
Gjb3	20	0.0051838	0.035334	0.724187	139	12	-4.2034	0.043621	0.031475	0.66405	130	0	-4.2034
Amigo1	20	0.0051921	0.035475	0.724187	140	14	-4.3431	0.6877	0.61078	0.905623	1926	0	-4.3431
Pkd1	20	0.0052727	0.036185	0.728281	141	13	-4.3688	0.25023	0.24514	0.866293	714	0	-4.3688
Ecscr	20	0.0053501	0.0366	0.729079	142	12	-4.3557	0.98926	0.98277	0.995302	2822	0	-4.3557
Slc6a18	20	0.0053858	0.036841	0.729079	143	12	-4.0378	0.66181	0.58152	0.901288	1843	0	-4.0378
Sv2c	20	0.0054716	0.037226	0.729079	144	6	-3.4296	0.11298	0.098748	0.837456	319	0	-3.4296
Tmem204	20	0.0054783	0.037245	0.729079	145	13	-4.5193	0.99606	0.9933	0.997446	2846	0	-4.5193
Plvap	20	0.0055742	0.037867	0.731235	146	13	-4.3094	0.62067	0.54954	0.899395	1722	0	-4.3094
Gldn	18	0.0056521	0.037751	0.731235	147	10	-4.2658	0.23834	0.23552	0.866293	668	0	-4.2658
Myadm	20	0.005742	0.038968	0.744521	148	14	-4.3946	0.79952	0.74218	0.943567	2250	0	-4.3946
Chrne	20	0.0058023	0.039727	0.750065	149	11	-4.0861	0.93802	0.9172	0.986009	2658	0	-4.0861
Tarm1	19	0.0058139	0.039076	0.744521	150	15	-4.2032	0.53887	0.48315	0.896706	1501	0	-4.2032
Hrh1	20	0.0058839	0.04017	0.750372	151	13	-4.2638	0.43308	0.38033	0.866293	1238	0	-4.2638
Olfr825	14	0.0059183	0.036114	0.728281	152	8	-3.9326	0.67533	0.61147	0.905623	1886	0	-3.9326
Gabrb3	18	0.0060831	0.039891	0.750065	153	14	-4.1506	0.95556	0.93941	0.990891	2704	0	-4.1506
Olfr294	20	0.0061328	0.041618	0.766724	154	8	-3.5424	0.30654	0.28885	0.866293	864	0	-3.5424
Lypd2	19	0.0061415	0.040943	0.759837	155	10	-4.2516	0.37907	0.333	0.866293	1092	0	-4.2516
Htr4	20	0.0063023	0.042796	0.774533	156	11	-3.936	0.73947	0.67289	0.924572	2071	0	-3.936
9330182L06Rik	19	0.0063049	0.041851	0.766724	157	8	-3.535	0.72759	0.66394	0.924572	2026	0	-3.535
Slc2a10	20	0.0063082	0.042819	0.774533	158	11	-3.9697	0.77746	0.71952	0.936424	2191	0	-3.9697
Sppl2b	20	0.0064633	0.043905	0.781842	159	9	-3.8052	0.10073	0.086208	0.813139	283	0	-3.8052
Slc13a4	20	0.0065111	0.044139	0.781842	160	14	-4.4248	0.99928	0.9988	0.999589	2854	0	-4.4248
Ptprj	20	0.0065304	0.044317	0.781842	161	14	-4.374	0.85173	0.80668	0.96014	2401	0	-4.374
S1pr5	20	0.0066466	0.044861	0.786582	162	14	-4.457	0.73419	0.66673	0.924572	2060	0	-4.457
Susd5	20	0.0067113	0.045353	0.787397	163	15	-4.3857	0.88301	0.84511	0.969203	2488	0	-4.3857
Slc6a16	20	0.0068364	0.045734	0.787397	164	7	-3.3622	0.4052	0.35185	0.866293	1151	0	-3.3622
Spns2	17	0.0068784	0.044224	0.781842	165	9	-3.6891	0.086296	0.074883	0.813139	254	0	-3.6891
Gp1bb	18	0.0070085	0.045488	0.787397	166	9	-3.8709	0.67688	0.61156	0.905623	1888	0	-3.8709
Pkd1l2	20	0.0070832	0.047096	0.796111	167	9	-3.7423	0.91642	0.88634	0.976926	2591	0	-3.7423
Icam2	20	0.007124	0.047445	0.796111	168	12	-4.1542	0.89262	0.85851	0.971926	2518	0	-4.1542
Cdh18	20	0.0071645	0.047565	0.796111	169	10	-3.743	0.22257	0.21208	0.866293	635	0	-3.743
Pkdrej	17	0.0072783	0.046427	0.79454	170	11	-4.1965	0.9427	0.92317	0.986556	2671	0	-4.1965
Cd177	20	0.0073147	0.048474	0.796111	171	12	-3.9394	0.61285	0.53717	0.899395	1699	0	-3.9394
Lrp5	20	0.0074395	0.049015	0.796111	172	12	-4.1681	0.46119	0.39792	0.867081	1295	0	-4.1681
Adra1b	20	0.0074542	0.049088	0.796111	173	11	-4.0477	0.02837	0.027702	0.66405	87	0	-4.0477
Tnfrsf9	20	0.0074995	0.049434	0.796111	174	7	-3.6568	0.49445	0.42222	0.86939	1364	0	-3.6568
Clcnka	20	0.0075038	0.049453	0.796111	175	14	-4.3436	0.88301	0.84511	0.969203	2491	0	-4.3436
Olfr658	20	0.0076215	0.050243	0.796111	176	11	-4.011	0.73419	0.66673	0.924572	2051	0	-4.011
Olfr1221	20	0.0076243	0.050328	0.796111	177	15	-4.2406	0.77058	0.70786	0.935616	2164	0	-4.2406
Treml2	20	0.0076469	0.050366	0.796111	178	12	-4.0744	0.41626	0.35972	0.866293	1182	0	-4.0744
Npffr1	20	0.0078089	0.050818	0.796111	179	15	-4.427	0.92718	0.90088	0.980843	2624	0	-4.427
Gpr55	20	0.0078167	0.05088	0.796111	180	15	-4.2678	0.17033	0.16239	0.866293	479	0	-4.2678
Asgr2	20	0.0080363	0.052044	0.796111	181	12	-4.4468	0.38457	0.34135	0.866293	1109	0	-4.4468
Thsd7b	20	0.0081142	0.052271	0.796111	182	11	-4.0498	0.77058	0.70786	0.935616	2166	0	-4.0498
Entpd3	19	0.008145	0.052796	0.796111	183	15	-4.3621	0.95907	0.94334	0.990891	2719	0	-4.3621
Slc1a1	20	0.0081782	0.052493	0.796111	184	14	-4.3144	0.67974	0.60581	0.905623	1900	0	-4.3144
Tnfrsf1a	20	0.0083192	0.053014	0.796111	185	11	-4.085	0.86037	0.81765	0.963581	2420	0	-4.085
Gpihbp1	20	0.0083483	0.053182	0.796111	186	14	-4.324	0.99121	0.98576	0.995575	2826	0	-4.324
Pcdha11	17	0.0083491	0.051778	0.796111	187	12	-4.2833	0.024166	0.024325	0.66405	72	0	-4.2833
Cdh15	20	0.0083767	0.053456	0.796111	188	15	-4.3148	0.9874	0.98046	0.995302	2811	0	-4.3148
Nalcn	20	0.0084614	0.053931	0.796111	189	11	-3.9771	0.43308	0.38033	0.866293	1228	0	-3.9771
Ptgdr	18	0.0084937	0.053168	0.796111	190	11	-4.1749	0.95317	0.93562	0.990891	2699	0	-4.1749
Olfr571	20	0.0086727	0.055103	0.796111	191	8	-3.661	0.63668	0.56458	0.899395	1757	0	-3.661
Slc45a4	20	0.0087371	0.055174	0.796111	192	15	-4.3013	0.6877	0.61078	0.905623	1905	0	-4.3013
Gabrq	20	0.0087408	0.055238	0.796111	193	10	-3.9796	0.48364	0.41142	0.867081	1345	0	-3.9796
2900092C05Rik	18	0.0087509	0.054757	0.796111	194	10	-4.3305	0.83899	0.79732	0.958809	2368	0	-4.3305
Slc9a1	20	0.0087738	0.055704	0.796111	195	12	-3.9942	0.97218	0.96119	0.992438	2766	0	-3.9942
Trpv6	19	0.0088253	0.0567	0.796111	196	11	-4.1254	0.69654	0.63245	0.917888	1941	0	-4.1254
Sez6	20	0.0088467	0.056039	0.796111	197	15	-4.4497	0.99928	0.9988	0.999589	2855	0	-4.4497
Efna1	18	0.0088701	0.05532	0.796111	198	11	-4.4153	0.40375	0.35307	0.866293	1143	0	-4.4153
Htr7	20	0.0089323	0.056491	0.796111	199	7	-3.6486	0.4052	0.35185	0.866293	1148	0	-3.6486
Ptger1	20	0.0089898	0.056747	0.796111	200	14	-4.3482	0.70677	0.63534	0.917888	1981	0	-4.3482
Eda2r	20	0.0089898	0.056747	0.796111	201	11	-4.3838	0.03947	0.031471	0.66405	117	0	-4.3838
Tmem63a	20	0.0091034	0.056969	0.796111	202	8	-3.7242	0.16348	0.15709	0.866293	459	0	-3.7242
Trem1	20	0.0091116	0.057033	0.796111	203	13	-4.4426	0.72861	0.66247	0.924572	2032	0	-4.4426
Abcc9	20	0.0091173	0.057336	0.796111	204	12	-4.0265	0.23155	0.22498	0.866293	645	0	-4.0265
Gabrr3	20	0.0091987	0.057757	0.796111	205	11	-4.2411	0.19543	0.19061	0.866293	560	0	-4.2411
Aoc3	18	0.0092514	0.057611	0.796111	206	14	-4.2625	0.99984	0.99978	1.0	2857	0	-4.2625
Oprl1	20	0.0094073	0.059058	0.796111	207	11	-3.946	0.32919	0.30467	0.866293	941	0	-3.946
Sucnr1	20	0.00944	0.059061	0.796111	208	7	-3.6048	0.22257	0.21208	0.866293	626	0	-3.6048
Slamf7	20	0.0095424	0.059955	0.796111	209	12	-4.3605	0.81563	0.76778	0.955295	2296	0	-4.3605
Ldlr	20	0.0095424	0.059955	0.796111	210	12	-4.31	0.25023	0.24514	0.866293	711	0	-4.31
Gpr146	20	0.0096038	0.060068	0.796111	211	11	-3.9452	0.82683	0.78204	0.958636	2331	0	-3.9452
Lilra6	20	0.0096659	0.060308	0.796111	212	10	-3.968	0.27095	0.26609	0.866293	765	0	-3.968
Plppr4	20	0.0096735	0.060423	0.796111	213	14	-4.4229	0.92912	0.90437	0.982775	2629	0	-4.4229
Itgad	20	0.0097221	0.060717	0.796111	214	9	-3.7947	0.24082	0.23599	0.866293	689	0	-3.7947
Sit1	20	0.0097302	0.060738	0.796111	215	11	-3.9566	0.7654	0.69763	0.930788	2150	0	-3.9566
Igflr1	20	0.0097381	0.060741	0.796111	216	8	-3.3705	0.14676	0.15042	0.866293	413	0	-3.3705
Ghrhr	20	0.0097624	0.061019	0.796111	217	11	-4.0681	0.27095	0.26609	0.866293	766	0	-4.0681
Anpep	20	0.0098629	0.061427	0.796111	218	10	-3.7631	0.43308	0.38033	0.866293	1237	0	-3.7631
Pcdhga3	18	0.00988	0.06109	0.796111	219	7	-3.6429	0.61593	0.53861	0.899395	1713	0	-3.6429
Stt3b	20	0.0099063	0.061561	0.796111	220	12	-3.9396	0.99282	0.98826	0.995575	2837	0	-3.9396
Slc9a6	20	0.0099063	0.061561	0.796111	221	10	-3.8774	0.78403	0.72546	0.938186	2207	0	-3.8774
Susd2	20	0.010092	0.062869	0.809361	222	11	-3.8661	0.31749	0.29769	0.866293	912	0	-3.8661
Nipal2	20	0.010205	0.06347	0.810091	223	8	-3.6975	0.12227	0.11681	0.866293	354	0	-3.6975
Ptprg	20	0.010251	0.063799	0.810385	224	15	-4.2257	0.88884	0.85413	0.971926	2511	0	-4.2257
Drd3	18	0.010278	0.063492	0.810091	225	8	-3.6268	0.70829	0.6431	0.924572	1983	0	-3.6268
Slc8b1	18	0.010487	0.064519	0.812635	226	11	-4.4443	0.89919	0.86719	0.973615	2537	0	-4.4443
Clec2i	18	0.010563	0.064833	0.812635	227	9	-4.0307	0.035594	0.028904	0.66405	107	0	-4.0307
