id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
USP17L22	48	5.4906e-26	2.2702e-07	5e-06	1	45	-3.2817	0.34771	0.99117	1.0	10245	1	-3.2817
USP17L20	50	1.3301e-24	2.2702e-07	5e-06	2	45	-3.2817	0.050958	0.8796	1.0	3286	2	-3.2817
USP17L11	50	1.3301e-24	2.2702e-07	5e-06	3	46	-3.2579	0.34658	0.99406	1.0	10215	2	-3.2579
USP17L18	50	1.3301e-24	2.2702e-07	5e-06	4	46	-3.2579	0.34658	0.99406	1.0	10214	2	-3.2579
USP17L15	48	1.4835e-24	2.2702e-07	5e-06	5	44	-3.2817	0.34771	0.99117	1.0	10244	2	-3.2817
USP17L6P	43	5.4325e-24	2.2702e-07	5e-06	6	41	-3.2891	1.0	1.0	1.0	21775	0	-3.2891
USP17L16P	45	8.2539e-24	2.2702e-07	5e-06	7	42	-3.2744	0.33006	0.98786	1.0	9920	1	-3.2744
USP17L21	52	2.2832e-23	2.2702e-07	5e-06	8	45	-3.184	0.052942	0.88887	1.0	3376	4	-3.184
USP17L12	52	2.2832e-23	2.2702e-07	5e-06	9	45	-3.184	0.052942	0.88887	1.0	3377	4	-3.184
USP17L19	48	3.4773e-23	2.2702e-07	5e-06	10	44	-3.184	0.32868	0.99075	1.0	9890	2	-3.184
USP17L9P	44	4.3553e-23	2.2702e-07	5e-06	11	41	-3.2817	0.32407	0.98371	1.0	9799	1	-3.2817
USP17L17	49	1.4381e-22	2.2702e-07	5e-06	12	43	-3.0515	0.35349	0.99312	1.0	10341	4	-3.0515
USP17L5	47	1.7658e-22	2.2702e-07	5e-06	13	42	-3.2744	0.047975	0.86408	1.0	3154	2	-3.2744
USP17L25	47	1.7658e-22	2.2702e-07	5e-06	14	42	-3.2744	0.047975	0.86408	1.0	3152	2	-3.2744
USP17L26	47	1.7658e-22	2.2702e-07	5e-06	15	42	-3.2744	0.047975	0.86408	1.0	3155	2	-3.2744
USP17L30	47	1.7658e-22	2.2702e-07	5e-06	16	42	-3.2744	0.047975	0.86408	1.0	3157	2	-3.2744
USP17L24	47	1.7658e-22	2.2702e-07	5e-06	17	42	-3.2744	0.047975	0.86408	1.0	3156	2	-3.2744
USP17L28	47	1.7658e-22	2.2702e-07	5e-06	18	42	-3.2744	0.047975	0.86408	1.0	3151	2	-3.2744
USP17L29	47	1.7658e-22	2.2702e-07	5e-06	19	42	-3.2744	0.047975	0.86408	1.0	3150	2	-3.2744
USP17L27	47	1.7658e-22	2.2702e-07	5e-06	20	42	-3.2744	0.047975	0.86408	1.0	3153	2	-3.2744
TBC1D3K	29	8.3027e-22	2.2702e-07	5e-06	21	29	-3.0846	1.0	1.0	1.0	21803	0	-3.0846
USP17L14P	44	1.5651e-20	2.2702e-07	5e-06	22	39	-3.2928	0.058148	0.86329	1.0	3590	3	-3.2928
TBC1D3F	30	2.0393e-20	2.2702e-07	5e-06	23	30	-2.9147	1.0	1.0	1.0	21804	0	-2.9147
TBC1D3G	29	7.8348e-20	2.2702e-07	5e-06	24	29	-3.3805	1.0	1.0	1.0	21797	0	-3.3805
USP17L13	48	2.1233e-19	2.2702e-07	5e-06	25	40	-3.0216	0.067765	0.90347	1.0	4011	6	-3.0216
TBC1D3D	28	4.593e-19	2.2702e-07	5e-06	26	28	-3.4494	1.0	1.0	1.0	21802	0	-3.4494
TBC1D3L	28	4.593e-19	2.2702e-07	5e-06	27	28	-3.4494	1.0	1.0	1.0	21801	0	-3.4494
TBC1D3	30	8.4378e-19	2.2702e-07	5e-06	28	30	-2.8848	1.0	1.0	1.0	21805	0	-2.8848
TBC1D3C	30	8.4378e-19	2.2702e-07	5e-06	29	30	-2.8848	1.0	1.0	1.0	21800	0	-2.8848
USP17L10	41	2.7098e-18	2.2702e-07	5e-06	30	36	-3.0515	0.30577	0.98112	1.0	9442	3	-3.0515
