Gene	sgRNA	A375_CP0082_repA|beta	A375_CP0082_repA|z	A375_CP0082_repA|p-value	A375_CP0082_repA|fdr	A375_CP0082_repA|wald-p-value	A375_CP0082_repA|wald-fdr	A375_CP0082_repB|beta	A375_CP0082_repB|z	A375_CP0082_repB|p-value	A375_CP0082_repB|fdr	A375_CP0082_repB|wald-p-value	A375_CP0082_repB|wald-fdr
FHIT	3	-0.24956	-1.3206	0.93539	0.99604	0.18662	0.53669	-0.038816	-0.20546	0.73968	0.9871	0.83721	0.90614
CD58	3	-0.88622	-2.2177	0.34302	0.86553	0.026573	0.19888	-0.72254	-1.8083	0.45495	0.92825	0.07056	0.36638
ZNF669	3	-0.10432	-0.74273	0.84364	0.99296	0.45764	0.66095	0.0557	0.3966	0.57597	0.9604	0.69166	0.81603
ENSG00000273957	3	0.078846	0.3876	0.53275	0.94818	0.69831	0.81848	0.23773	1.1687	0.28937	0.82332	0.24253	0.54863
SRFBP1	4	-2.0293	-3.1478	0.032261	0.30587	0.0016453	0.022611	-2.2596	-3.4836	0.021834	0.25749	0.00049468	0.0083594
TCEANC2	3	-0.61316	-1.652	0.54055	0.95102	0.098534	0.43564	-0.60298	-1.6246	0.55262	0.95777	0.10424	0.44971
PGM2	3	-0.32154	-0.9476	0.83821	0.99246	0.34333	0.59204	-0.19087	-0.56263	0.98169	0.99823	0.57368	0.7392
CSH2	5	-0.046881	-0.16494	0.74828	0.98491	0.86899	0.92619	-0.27343	-0.96177	0.9025	0.99577	0.33617	0.58284
HAUS3	4	-2.7233	-4.2074	0.0075751	0.13644	2.5838e-05	0.00073114	-3.4138	-5.2656	0.0024508	0.091362	1.3971e-07	1.0629e-05
USP9X	3	-0.078926	-0.84417	0.80291	0.99031	0.39857	0.62396	-0.1903	-2.0354	0.98093	0.99823	0.041815	0.26644
XPO6	3	-0.71616	-1.6826	0.46021	0.92678	0.092462	0.4209	-0.7655	-1.7985	0.42536	0.91632	0.072103	0.37039
SLC25A53	2	0.16938	0.47205	0.3841	0.88875	0.63689	0.77883	0.33013	0.92011	0.17641	0.70108	0.35752	0.59539
GOLGA6C	5	-1.587	-3.6134	0.077266	0.48504	0.00030221	0.0055637	-1.454	-3.3119	0.099857	0.53356	0.00092666	0.014205
GOLGA6GP	1	-0.61779	-0.63751	0.53645	0.95035	0.52379	0.70393	-2.0103	-2.0745	0.034489	0.32344	0.03803	0.2508
GOLGA6FP	3	-1.3389	-2.3158	0.13123	0.62199	0.020567	0.16766	-1.3541	-2.3422	0.12606	0.60243	0.019169	0.15586
SLC25A52	3	-0.53619	-1.7	0.60725	0.96962	0.089127	0.41333	-0.31575	-1.0014	0.84498	0.99226	0.31665	0.57508
WBP11	3	-2.3721	-3.5319	0.016532	0.21032	0.00041251	0.0071987	-2.8825	-4.2663	0.0054808	0.11816	1.9873e-05	0.00061094
ZNF765	3	0.27842	1.0726	0.23385	0.77002	0.28343	0.56688	0.25106	0.96721	0.27007	0.8051	0.33344	0.58079
KIAA0753	3	-0.51743	-1.9636	0.62477	0.97221	0.049571	0.29369	-0.39536	-1.5005	0.75354	0.98718	0.1335	0.49575
MRPL45	3	-4.4396	-6.1556	0.0009803	0.080882	7.479e-10	1.5335e-07	-3.7612	-5.2453	0.0017824	0.091362	1.5601e-07	1.1632e-05
OFD1	3	0.033552	0.23114	0.61006	0.9701	0.81721	0.89379	0.0037961	0.026151	0.66638	0.97444	0.97914	0.99003
DEPDC1B	3	0.10711	0.5478	0.48721	0.93651	0.58383	0.74267	0.084985	0.43464	0.52776	0.95224	0.66382	0.79862
SERF1B	4	-1.27	-3.56	0.15279	0.66389	0.00037088	0.0065596	-0.84767	-2.3765	0.36957	0.88473	0.01748	0.1454
SERF1A	4	-1.27	-3.56	0.15279	0.66389	0.00037088	0.0065596	-0.84767	-2.3765	0.36957	0.88473	0.01748	0.1454
LOC124901481	3	-0.15213	-0.40209	0.92109	0.99604	0.68762	0.81078	-0.28406	-0.7507	0.889	0.99542	0.45284	0.65565
MLC1	3	0.37689	1.52	0.13083	0.62111	0.12852	0.48575	0.17611	0.71023	0.3804	0.89243	0.47756	0.67344
KPNA1	3	-0.098049	-0.4479	0.8333	0.99146	0.65422	0.79	-0.39527	-1.8055	0.75372	0.98718	0.070989	0.36725
EP300	3	0.62331	1.1654	0.01671	0.21085	0.24387	0.55363	0.52278	0.97739	0.043178	0.36333	0.32838	0.57908
ADGRL2	3	0.17627	0.79019	0.37483	0.88614	0.42942	0.64436	0.26823	1.2024	0.24655	0.7782	0.2292	0.54594
LOC441239	3	-1.001	-2.3264	0.27359	0.81035	0.019995	0.16437	-0.9119	-2.1194	0.3276	0.853	0.034056	0.23301
LOC124906109	2	0.38795	0.85281	0.12062	0.59792	0.39376	0.62097	0.42777	0.94033	0.090634	0.51234	0.34705	0.58891
SSX5	3	-0.60422	-1.2349	0.54826	0.95304	0.21687	0.54877	-0.66916	-1.3674	0.49733	0.94703	0.1715	0.529
IQCD	3	-0.24265	-0.80198	0.94528	0.99639	0.42256	0.63925	-0.0083138	-0.027481	0.68702	0.97745	0.97808	0.98959
BDP1	3	-1.5085	-1.7258	0.089876	0.51805	0.084377	0.40212	-1.468	-1.6815	0.097629	0.5291	0.092662	0.42422
UROS	3	-0.47898	-1.5044	0.66255	0.97591	0.13247	0.49219	-0.51396	-1.6143	0.63118	0.97281	0.10646	0.45242
ARRDC4	3	-0.22635	-1.5398	0.96859	0.99716	0.12361	0.47981	-0.0036825	-0.025051	0.67922	0.97549	0.98001	0.99025
ABCA5	3	-0.45996	-1.4647	0.68274	0.97778	0.14301	0.50615	-0.40546	-1.2912	0.74316	0.98718	0.19663	0.53965
UBA6	3	-0.81137	-2.0509	0.39283	0.89286	0.040281	0.2591	-0.57559	-1.4573	0.57553	0.96024	0.14503	0.50976
CLEC9A	3	-0.57533	-1.6032	0.57214	0.95825	0.10889	0.45718	0.037532	0.10461	0.60962	0.97032	0.91669	0.95425
SPMIP4	3	-0.12445	-0.33959	0.87768	0.9932	0.73417	0.84139	-0.73455	-2.0032	0.44733	0.92517	0.04516	0.28098
SCO1	3	-2.6551	-4.0633	0.0090901	0.15281	4.8374e-05	0.0012241	-2.5798	-3.9578	0.011719	0.18076	7.5652e-05	0.0018166
FBXL17	3	-0.28133	-0.96932	0.89301	0.99448	0.33239	0.5872	-0.2879	-0.992	0.88294	0.99542	0.3212	0.57718
TRDN	3	-0.02748	-0.24385	0.71509	0.981	0.80735	0.88747	-0.15472	-1.3729	0.92701	0.9968	0.1698	0.52821
MRPS7	3	-2.1567	-3.5695	0.0258	0.27221	0.00035761	0.0063948	-2.9289	-4.8234	0.004857	0.111	1.4111e-06	7.2797e-05
COL4A2	3	-1.1393	-1.5766	0.20479	0.73383	0.11488	0.46729	-1.5295	-2.1091	0.086267	0.49936	0.03494	0.23661
S100A12	3	-0.36231	-1.4603	0.78727	0.9887	0.14422	0.50745	-0.3258	-1.3131	0.83362	0.99107	0.18915	0.53669
CSTPP1	3	-0.2162	-1.7454	0.98316	0.99847	0.080924	0.39258	0.067718	0.54668	0.55663	0.95777	0.5846	0.74685
CDK11B	3	-1.576	-2.3437	0.078781	0.49016	0.019096	0.1594	-1.4876	-2.213	0.093708	0.51975	0.026896	0.19836
OR2A7	3	-0.30952	-0.97005	0.85349	0.99296	0.33202	0.58702	-0.53576	-1.679	0.61198	0.97106	0.093147	0.42523
MIER3	3	-0.19382	-0.73069	0.98445	0.99847	0.46497	0.6655	-0.26954	-1.0161	0.90843	0.99668	0.30956	0.5712
CARD6	3	-0.096734	-0.38178	0.83116	0.99086	0.70262	0.82152	-0.080042	-0.31591	0.80724	0.98895	0.75207	0.854
PFN4	3	0.10175	0.55997	0.49537	0.93651	0.5755	0.73755	0.16932	0.93182	0.39123	0.90088	0.35143	0.59148
ATF7IP	3	0.13391	0.56949	0.44189	0.91994	0.56903	0.73317	0.074153	0.31534	0.5455	0.95734	0.7525	0.8542
TRAPPC12	3	-0.67397	-2.0931	0.49162	0.93651	0.036337	0.2432	-0.52333	-1.6254	0.62289	0.97226	0.10407	0.44971
BCAS1	3	-0.029246	-0.18547	0.71803	0.98101	0.85286	0.91639	0.010307	0.065369	0.65516	0.97289	0.94788	0.97147
RPS6KB1	6	-0.99712	-3.0338	0.27542	0.81275	0.0024147	0.031171	-0.96245	-2.9289	0.2948	0.8286	0.0034016	0.04122
CEP44	3	-0.27998	-1.2149	0.89466	0.99448	0.22442	0.55116	-0.21277	-0.92331	0.98592	0.99901	0.35585	0.59436
ARL2BP	3	-0.27081	-1.2641	0.90776	0.99566	0.20619	0.54479	-0.40727	-1.9009	0.74093	0.98718	0.05731	0.3243
DYRK1A	3	-1.0615	-2.3049	0.24062	0.77536	0.021171	0.17066	-1.0139	-2.202	0.26794	0.80259	0.027666	0.20251
F13B	3	-0.29402	-1.5094	0.87403	0.99296	0.1312	0.49048	-0.047803	-0.24543	0.75466	0.98718	0.80613	0.88682
DNAJB9	3	-0.4167	-1.6159	0.72592	0.98293	0.10612	0.45183	-0.37483	-1.4535	0.77613	0.98728	0.14608	0.51078
APOA5	3	-0.48172	-1.3786	0.65939	0.97563	0.16803	0.52674	-0.60562	-1.733	0.55071	0.95777	0.0831	0.40253
ZNF892	3	0.28375	1.4873	0.22721	0.76093	0.13695	0.49855	0.21181	1.1102	0.32497	0.85169	0.26692	0.5557
NCBP2	3	-3.149	-4.5553	0.0032528	0.090123	5.2318e-06	0.00020314	-2.7827	-4.0635	0.0068621	0.1323	4.834e-05	0.0012659
APIP	3	-0.74694	-1.9038	0.43668	0.91796	0.056937	0.31962	-0.6647	-1.6952	0.50102	0.94724	0.090037	0.41889
WNT8A	3	0.13723	1.0486	0.43632	0.91796	0.29435	0.57081	0.057431	0.43884	0.57343	0.96024	0.66078	0.79658
CCDC60	3	-0.083915	-0.36682	0.81071	0.99031	0.71375	0.8284	-0.1106	-0.48346	0.85794	0.99406	0.62877	0.77682
WDR70	3	-2.9993	-4.1687	0.0043223	0.10115	3.0631e-05	0.00084139	-3.6721	-5.0261	0.0018715	0.091362	5.006e-07	2.9958e-05
SIDT2	3	-0.42744	-1.4366	0.71482	0.981	0.15085	0.51398	-0.50499	-1.6971	0.6396	0.97289	0.089672	0.41883
DLG1	3	-0.011097	-0.039256	0.6863	0.97834	0.96869	0.98468	0.063203	0.22361	0.56399	0.95922	0.82306	0.89657
CEP76	3	0.014259	0.10715	0.64295	0.97552	0.91467	0.95399	0.096659	0.72635	0.50833	0.94822	0.46763	0.66703
