id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HNRNPL	6	2.4129e-09	2.2059e-07	4e-06	1	6	-5.8163	1.0	1.0	1.0	22441	0	-5.8163
POLR2J3	9	3.3461e-08	2.2059e-07	4e-06	2	9	-4.1425	1.0	1.0	1.0	22408	0	-4.1425
POLR2J4	16	1.1639e-07	2.2059e-07	4e-06	3	14	-2.5091	0.99784	0.99991	1.0	21102	1	-2.5091
HNRNPU	5	1.515e-07	2.2059e-07	4e-06	4	5	-5.6588	1.0	1.0	1.0	22440	0	-5.6588
AIRIM	3	2.1793e-07	2.2059e-07	4e-06	5	3	-5.9009	1.0	1.0	1.0	22439	0	-5.9009
GPI	6	3.2791e-07	2.2059e-07	4e-06	6	6	-3.4017	1.0	1.0	1.0	22438	0	-3.4017
SNRPD3	4	4.1213e-07	2.2059e-07	4e-06	7	4	-5.8303	1.0	1.0	1.0	22437	0	-5.8303
CDC7	3	6.6746e-07	2.2059e-07	4e-06	8	3	-6.3135	1.0	1.0	1.0	22436	0	-6.3135
RPS14	3	6.9792e-07	2.2059e-07	4e-06	9	3	-7.3325	1.0	1.0	1.0	22435	0	-7.3325
RFT1	6	7.1688e-07	2.2059e-07	4e-06	10	6	-2.7731	1.0	1.0	1.0	22434	0	-2.7731
POLD1	5	7.8301e-07	2.2059e-07	4e-06	11	5	-5.4916	1.0	1.0	1.0	22433	0	-5.4916
ATP6V1A	3	8.2519e-07	2.2059e-07	4e-06	12	3	-6.9288	1.0	1.0	1.0	22432	0	-6.9288
EIF3CL	4	8.3804e-07	2.2059e-07	4e-06	13	4	-5.5803	1.0	1.0	1.0	22431	0	-5.5803
EIF3C	4	8.3804e-07	2.2059e-07	4e-06	14	4	-5.5803	1.0	1.0	1.0	22430	0	-5.5803
RPL8	3	9.9725e-07	2.2059e-07	4e-06	15	3	-7.5684	1.0	1.0	1.0	22429	0	-7.5684
TRMT112	3	1.2016e-06	2.2059e-07	4e-06	16	3	-6.0437	1.0	1.0	1.0	22428	0	-6.0437
OSGEP	3	1.2874e-06	2.2059e-07	4e-06	17	3	-5.4974	1.0	1.0	1.0	22427	0	-5.4974
RPL19	3	1.3082e-06	2.2059e-07	4e-06	18	3	-5.621	1.0	1.0	1.0	22426	0	-5.621
TUT1	5	1.338e-06	2.2059e-07	4e-06	19	5	-4.7895	1.0	1.0	1.0	22425	0	-4.7895
PFDN6	3	1.4939e-06	2.2059e-07	4e-06	20	3	-6.4383	1.0	1.0	1.0	22424	0	-6.4383
ZBTB11	3	1.5546e-06	2.2059e-07	4e-06	21	3	-6.6163	1.0	1.0	1.0	22423	0	-6.6163
HNRNPC	3	1.6169e-06	2.2059e-07	4e-06	22	3	-8.102	1.0	1.0	1.0	22422	0	-8.102
POLR2J	5	1.6197e-06	2.2059e-07	4e-06	23	5	-6.0869	1.0	1.0	1.0	22421	0	-6.0869
SRBD1	3	1.8499e-06	2.2059e-07	4e-06	24	3	-5.704	1.0	1.0	1.0	22420	0	-5.704
LOC102724594	3	1.9561e-06	2.2059e-07	4e-06	25	3	-6.8828	0.99981	1.0	1.0	22032	0	-6.8828
LOC7307	3	1.9561e-06	2.2059e-07	4e-06	26	3	-6.8828	0.99981	1.0	1.0	22031	0	-6.8828
DHPS	6	1.9833e-06	2.2059e-07	4e-06	27	6	-4.4308	1.0	1.0	1.0	22419	0	-4.4308
