sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"A1BG","Approved symbol","A1BG","alpha-1-B glycoprotein","HGNC:5","19q13.43"
"NAT2","Approved symbol","NAT2","N-acetyltransferase 2","HGNC:7646","8p22"
"NAT2","Alias symbol","SLC38A1","solute carrier family 38 member 1","HGNC:13447","12q13.11"
"ADA","Approved symbol","ADA","adenosine deaminase","HGNC:186","20q13.12"
"CDH2","Approved symbol","CDH2","cadherin 2","HGNC:1759","18q12.1"
"AKT3","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44"
"GAGE12F","Approved symbol","GAGE12F","G antigen 12F","HGNC:31906","Xp11.23"
"MED6","Approved symbol","MED6","mediator complex subunit 6","HGNC:19970","14q24.2"
"NR2E3","Approved symbol","NR2E3","nuclear receptor subfamily 2 group E member 3","HGNC:7974","15q23"
"NAALAD2","Approved symbol","NAALAD2","N-acetylated alpha-linked acidic dipeptidase 2","HGNC:14526","11q14.3"
"DUXB","Approved symbol","DUXB","double homeobox B","HGNC:33345","16q23.1"
"DDTL","Approved symbol","DDTL","D-dopachrome tautomerase like","HGNC:33446","22q11.23"
"NAALADL1","Approved symbol","NAALADL1","N-acetylated alpha-linked acidic dipeptidase like 1","HGNC:23536","11q13.1"
"SIGLEC14","Approved symbol","SIGLEC14","sialic acid binding Ig like lectin 14","HGNC:32926","19q13.41"
"ACOT8","Approved symbol","ACOT8","acyl-CoA thioesterase 8","HGNC:15919","20q13.12"
"ABI1","Approved symbol","ABI1","abl interactor 1","HGNC:11320","10p12.1"
"GNPDA1","Approved symbol","GNPDA1","glucosamine-6-phosphate deaminase 1","HGNC:4417","5q31.3"
"KCNE3","Approved symbol","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3","HGNC:6243","11q13.4"
"ZBTB33","Approved symbol","ZBTB33","zinc finger and BTB domain containing 33","HGNC:16682","Xq24"
"CDH3","Approved symbol","CDH3","cadherin 3","HGNC:1762","16q22.1"
"CDH3","Previous symbol","CDH15","cadherin 15","HGNC:1754","16q24.3"
"TANK","Approved symbol","TANK","TRAF family member associated NFKB activator","HGNC:11562","2q24.2"
"POM121C","Approved symbol","POM121C","POM121 transmembrane nucleoporin C","HGNC:34005","7q11.23"
"SPDYE12","Approved symbol","SPDYE12","speedy/RINGO cell cycle regulator family member E12","HGNC:51508","7q11.23"
"ZSCAN30","Approved symbol","ZSCAN30","zinc finger and SCAN domain containing 30","HGNC:33517","18q12.2"
"MCTS2","Approved symbol","MCTS2","MCTS family member 2","HGNC:49760","20q11.21"
"SRA1","Approved symbol","SRA1","steroid receptor RNA activator 1","HGNC:11281","5q31.3"
"SRA1","Alias symbol","SOX9","SRY-box transcription factor 9","HGNC:11204","17q24.3"
"TMEM170B","Approved symbol","TMEM170B","transmembrane protein 170B","HGNC:34244","6p24.2"
"ZGLP1","Approved symbol","ZGLP1","zinc finger GATA like protein 1","HGNC:37245","19p13.2"
"GJE1","Approved symbol","GJE1","gap junction protein epsilon 1","HGNC:33251","6q24.1"
"GJE1","Previous symbol","GJC3","gap junction protein gamma 3","HGNC:17495","7q22.1"
"MINAR2","Approved symbol","MINAR2","membrane integral NOTCH2 associated receptor 2","HGNC:33914","5q23.3"
"C8orf88","Approved symbol","C8orf88","chromosome 8 open reading frame 88","HGNC:44672","8q21.3"
"FAM229A","Approved symbol","FAM229A","family with sequence similarity 229 member A","HGNC:44652","1p35.1"
"TRAPPC3L","Approved symbol","TRAPPC3L","trafficking protein particle complex subunit 3L","HGNC:21090","6q22.1"
"CTAGE4","Approved symbol","CTAGE4","CTAGE family member 4","HGNC:24772","7q35"
"CTAGE4","Alias symbol","ARHGEF35","Rho guanine nucleotide exchange factor 35","HGNC:33846","7q35"
"TEKTIP1","Approved symbol","TEKTIP1","tektin bundle interacting protein 1","HGNC:34496","19p13.3"
"OST4","Approved symbol","OST4","oligosaccharyltransferase complex subunit 4, non-catalytic","HGNC:32483","2p23.3"
"CIROP","Approved symbol","CIROP","ciliated left-right organizer metallopeptidase","HGNC:53647","14q11.2"
"ZBTB42","Approved symbol","ZBTB42","zinc finger and BTB domain containing 42","HGNC:32550","14q32.33"
"KDM4F","Approved symbol","KDM4F","lysine demethylase 4F","HGNC:52413","11q21"
"LOC100129098","Unmatched","","","",""
"KHDC1L","Approved symbol","KHDC1L","KH domain containing 1 like","HGNC:37274","6q13"
"DEFB131B","Approved symbol","DEFB131B","defensin beta 131B","HGNC:38058","11q13.4"
"CXorf51A","Approved symbol","CXorf51A","chromosome X open reading frame 51A","HGNC:30533","Xq27.3"
"SMIM27","Approved symbol","SMIM27","small integral membrane protein 27","HGNC:31420","9p21.1"
"KPLCE","Approved symbol","KPLCE","KPRP N-terminal and LCE C-terminal like protein","HGNC:29468","1q21.3"
"TDRD15","Approved symbol","TDRD15","tudor domain containing 15","HGNC:45037","2p24.1"
"SMIM10L1","Approved symbol","SMIM10L1","small integral membrane protein 10 like 1","HGNC:49847","12p13.2"
"FAM236A","Approved symbol","FAM236A","family with sequence similarity 236 member A","HGNC:44268","Xq13.1"
"MKRN2OS","Approved symbol","MKRN2OS","MKRN2 opposite strand","HGNC:40375","3p25.2"
"ETDB","Approved symbol","ETDB","embryonic testis differentiation homolog B","HGNC:44269","Xq26.3"
"TEX13C","Approved symbol","TEX13C","TEX13 family member C","HGNC:52277","Xq25"
"MUC8","Approved symbol","MUC8","mucin 8","HGNC:7519","12q24.33"
"ZNF730","Approved symbol","ZNF730","zinc finger protein 730","HGNC:32470","19p12"
"FAM47E","Approved symbol","FAM47E","family with sequence similarity 47 member E","HGNC:34343","4q21.1"
"TCF24","Approved symbol","TCF24","transcription factor 24","HGNC:32275","8q13.1"
"IZUMO3","Approved symbol","IZUMO3","IZUMO family member 3","HGNC:31421","9p21.3"
"CCDC152","Approved symbol","CCDC152","coiled-coil domain containing 152","HGNC:34438","5p12"
"ZNF737","Approved symbol","ZNF737","zinc finger protein 737","HGNC:32468","19p12"
"TMEM269","Approved symbol","TMEM269","transmembrane protein 269","HGNC:52381","1p34.2"
"SPATA31F3","Approved symbol","SPATA31F3","SPATA31 subfamily F member 3","HGNC:42673","9p13.3"
"HDAC6","Approved symbol","HDAC6","histone deacetylase 6","HGNC:14064","Xp11.23"
"HSFX2","Approved symbol","HSFX2","heat shock transcription factor family, X-linked 2","HGNC:32701","Xq28"
"CCDC166","Approved symbol","CCDC166","coiled-coil domain containing 166","HGNC:41910","8q24.3"
"C8orf89","Approved symbol","C8orf89","chromosome 8 open reading frame 89","HGNC:51258","8q21.11"
"SUPT20HL1","Approved symbol","SUPT20HL1","SUPT20H like 1","HGNC:30773","Xp22.11"
"C17orf107","Approved symbol","C17orf107","chromosome 17 open reading frame 107","HGNC:37238","17p13.2"
"TMEM262","Approved symbol","TMEM262","transmembrane protein 262","HGNC:49389","11q13.1"
"CXorf49","Approved symbol","CXorf49","chromosome X open reading frame 49","HGNC:30891","Xq13.1"
"TMEM221","Approved symbol","TMEM221","transmembrane protein 221","HGNC:21943","19p13.11"
"CD300H","Approved symbol","CD300H","CD300H molecule (gene/pseudogene)","HGNC:52292","17q25.1"
"PRR32","Approved symbol","PRR32","proline rich 32","HGNC:34498","Xq25"
"SPMIP1","Approved symbol","SPMIP1","sperm microtubule inner protein 1","HGNC:52392","7q32.1"
"LRRC70","Approved symbol","LRRC70","leucine rich repeat containing 70","HGNC:35155","5q12.1"
"LRRC69","Approved symbol","LRRC69","leucine rich repeat containing 69","HGNC:34303","8q21.3"
"EFCAB10","Approved symbol","EFCAB10","EF-hand calcium binding domain 10","HGNC:34531","7q22.3"
"SBK3","Approved symbol","SBK3","SH3 domain binding kinase family member 3","HGNC:44121","19q13.42"
"SMIM6","Previous symbol","ERLN","endoregulin","HGNC:40032","17q25.1"
"SYCE1L","Approved symbol","SYCE1L","synaptonemal complex central element protein 1 like","HGNC:37236","16q23.1"
"SPMIP7","Approved symbol","SPMIP7","sperm microtubule inner protein 7","HGNC:22564","7p12.2"
"ZNF316","Approved symbol","ZNF316","zinc finger protein 316","HGNC:13843","7p22.1"
"BSPH1","Approved symbol","BSPH1","binder of sperm protein homolog 1","HGNC:33906","19q13.33"
"TSTD1","Approved symbol","TSTD1","thiosulfate sulfurtransferase like domain containing 1","HGNC:35410","1q23.3"
"NEMP2","Approved symbol","NEMP2","nuclear envelope integral membrane protein 2","HGNC:33700","2q32.2"
"ANKRD63","Approved symbol","ANKRD63","ankyrin repeat domain 63","HGNC:40027","15q15.1"
"DPEP2NB","Approved symbol","DPEP2NB","DPEP2 neighbor","HGNC:52385","16q22.1"
"C11orf91","Approved symbol","C11orf91","chromosome 11 open reading frame 91","HGNC:34444","11p13"
"SP9","Approved symbol","SP9","Sp9 transcription factor","HGNC:30690","2q31.1"
"CD300LD","Approved symbol","CD300LD","CD300 molecule like family member d","HGNC:16848","17q25.1"
"PRR23D1","Approved symbol","PRR23D1","proline rich 23 domain containing 1","HGNC:49420","8p23.1"
"ARMCX4","Approved symbol","ARMCX4","armadillo repeat containing X-linked 4","HGNC:28615","Xq22.1"
"PET100","Approved symbol","PET100","PET100 cytochrome c oxidase chaperone","HGNC:40038","19p13.2"
"ZNF717","Approved symbol","ZNF717","zinc finger protein 717","HGNC:29448","3p12.3"
"INSYN2B","Approved symbol","INSYN2B","inhibitory synaptic factor family member 2B","HGNC:37271","5q35.1"
"KRTAP25-1","Approved symbol","KRTAP25-1","keratin associated protein 25-1","HGNC:34003","21q22.11"
"ZNF705G","Approved symbol","ZNF705G","zinc finger protein 705G","HGNC:37134","8p23.1"
"TEX13D","Approved symbol","TEX13D","TEX13 family member D","HGNC:52278","Xq25"
"FOXO6","Approved symbol","FOXO6","forkhead box O6","HGNC:24814","1p34.2"
"FAM240A","Approved symbol","FAM240A","family with sequence similarity 240 member A","HGNC:52390","3p21.31"
"GOLGA6L25","Approved symbol","GOLGA6L25","golgin A6 family like 25","HGNC:55711","15q13.1"
"NPIPB5","Approved symbol","NPIPB5","nuclear pore complex interacting protein family member B5","HGNC:37233","16p12.2"
"FAM236B","Approved symbol","FAM236B","family with sequence similarity 236 member B","HGNC:52640","Xq13.1"
"KRTAP4-9","Approved symbol","KRTAP4-9","keratin associated protein 4-9","HGNC:18910","17q21.2"
"ZNF705B","Approved symbol","ZNF705B","zinc finger protein 705B","HGNC:32284","8p23.1"
"GAGE12D","Approved symbol","GAGE12D","G antigen 12D","HGNC:31904","Xp11.23"
"NBPF10","Approved symbol","NBPF10","NBPF member 10","HGNC:31992","1q21.1"
"CLDN24","Approved symbol","CLDN24","claudin 24","HGNC:37200","4q35.1"
"KRTAP4-7","Approved symbol","KRTAP4-7","keratin associated protein 4-7","HGNC:18898","17q21.2"
"GOLGA8F","Approved symbol","GOLGA8F","golgin A8 family member F","HGNC:32378","15q13.1"
"SHISAL2B","Approved symbol","SHISAL2B","shisa like 2B","HGNC:34236","5q12.3"
"SMIM9","Approved symbol","SMIM9","small integral membrane protein 9","HGNC:41915","Xq28"
"CXorf49B","Approved symbol","CXorf49B","chromosome X open reading frame 49B","HGNC:34229","Xq13.1"
"CXorf51B","Approved symbol","CXorf51B","chromosome X open reading frame 51B","HGNC:42787","Xq27.3"
"FAM25G","Approved symbol","FAM25G","family with sequence similarity 25 member G","HGNC:23590","10q11.22"
"PRR23D2","Approved symbol","PRR23D2","proline rich 23 domain containing 2","HGNC:49396","8p23.1"
"DEFB130B","Approved symbol","DEFB130B","defensin beta 130B","HGNC:39814","8p23.1"
"XNDC1N","Approved symbol","XNDC1N","XRCC1 N-terminal domain containing 1, N-terminal like","HGNC:54661","11q13.4"
"CD24","Approved symbol","CD24","CD24 molecule","HGNC:1645","6q21"
"KCNJ18","Approved symbol","KCNJ18","potassium inwardly rectifying channel subfamily J member 18","HGNC:39080","17p11.2"
"TEN1","Approved symbol","TEN1","TEN1 subunit of CST complex","HGNC:37242","17q25.1"
"TEN1","Alias symbol","TENM1","teneurin transmembrane protein 1","HGNC:8117","Xq25"
"UPK3BL1","Approved symbol","UPK3BL1","uroplakin 3B like 1","HGNC:37278","7q22.1"
"JMJD7","Approved symbol","JMJD7","jumonji domain containing 7","HGNC:34397","15q15.1"
"PLA2G4B","Approved symbol","PLA2G4B","phospholipase A2 group IVB","HGNC:9036","15q15.1"
"HDAC5","Approved symbol","HDAC5","histone deacetylase 5","HGNC:14068","17q21.31"
"C17orf99","Approved symbol","C17orf99","chromosome 17 open reading frame 99","HGNC:34490","17q25.3"
"CTAGE8","Approved symbol","CTAGE8","CTAGE family member 8","HGNC:37294","7q35"
"KLLN","Approved symbol","KLLN","killin, p53 regulated DNA replication inhibitor","HGNC:37212","10q23"
"PDCD6IP","Approved symbol","PDCD6IP","programmed cell death 6 interacting protein","HGNC:8766","3p22.3"
"KRTAP20-4","Approved symbol","KRTAP20-4","keratin associated protein 20-4","HGNC:34002","21q22.11"
"PDCD6","Approved symbol","PDCD6","programmed cell death 6","HGNC:8765","5p15.33"
"PATE3","Approved symbol","PATE3","prostate and testis expressed 3","HGNC:35426","11q24.2"
"BCL2L10","Approved symbol","BCL2L10","BCL2 like 10","HGNC:993","15q21.2"
"SRRM5","Approved symbol","SRRM5","serine/arginine repetitive matrix 5","HGNC:37248","19q13.31"
"ERICH4","Approved symbol","ERICH4","glutamate rich 4","HGNC:34497","19q13.2"
"EPOP","Approved symbol","EPOP","elongin BC and polycomb repressive complex 2 associated protein","HGNC:34493","17q12"
"BCL2L11","Approved symbol","BCL2L11","BCL2 like 11","HGNC:994","2q13"
"TOMM6","Approved symbol","TOMM6","translocase of outer mitochondrial membrane 6","HGNC:34528","6p21.1"
"SH2B3","Approved symbol","SH2B3","SH2B adaptor protein 3","HGNC:29605","12q24.12"
"C5orf52","Approved symbol","C5orf52","chromosome 5 open reading frame 52","HGNC:35121","5q33.3"
"C2CD4D","Approved symbol","C2CD4D","C2 calcium dependent domain containing 4D","HGNC:37210","1q21.3"
"CDH4","Approved symbol","CDH4","cadherin 4","HGNC:1763","20q13.33"
"GNE","Approved symbol","GNE","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase","HGNC:23657","9p13.3"
"HCN4","Approved symbol","HCN4","hyperpolarization activated cyclic nucleotide gated potassium channel 4","HGNC:16882","15q24.1"
"INSL5","Approved symbol","INSL5","insulin like 5","HGNC:6088","1p31.3"
"FRAT1","Approved symbol","FRAT1","FRAT regulator of WNT signaling pathway 1","HGNC:3944","10q24.1"
"TROAP","Approved symbol","TROAP","trophinin associated protein","HGNC:12327","12q13.12"
"MED16","Approved symbol","MED16","mediator complex subunit 16","HGNC:17556","19p13.3"
"PIGK","Approved symbol","PIGK","phosphatidylinositol glycan anchor biosynthesis class K","HGNC:8965","1p31.1"
"ARHGEF33","Approved symbol","ARHGEF33","Rho guanine nucleotide exchange factor 33","HGNC:37252","2p22.1"
"ERVV-2","Approved symbol","ERVV-2","endogenous retrovirus group V member 2, envelope","HGNC:39051","19q13.41"
"MEF2B","Approved symbol","MEF2B","myocyte enhancer factor 2B","HGNC:6995","19p13.11"
"RASA4B","Approved symbol","RASA4B","RAS p21 protein activator 4B","HGNC:35202","7q22.1"
"CMC4","Approved symbol","CMC4","C-X9-C motif containing 4","HGNC:35428","Xq28"
"FAM90A26","Approved symbol","FAM90A26","family with sequence similarity 90 member A26","HGNC:43746","4p16.1"
"USP17L10","Approved symbol","USP17L10","ubiquitin specific peptidase 17 like family member 10","HGNC:44438","4p16.1"
"WASHC1","Approved symbol","WASHC1","WASH complex subunit 1","HGNC:24361","9p24.3"
"USP17L11","Approved symbol","USP17L11","ubiquitin specific peptidase 17 like family member 11","HGNC:44439","4p16.1"
"USP17L12","Approved symbol","USP17L12","ubiquitin specific peptidase 17 like family member 12","HGNC:44440","4p16.1"
"ZNF729","Approved symbol","ZNF729","zinc finger protein 729","HGNC:32464","19p12"
"USP17L13","Approved symbol","USP17L13","ubiquitin specific peptidase 17 like family member 13","HGNC:44441","4p16.1"
"MANSC4","Approved symbol","MANSC4","MANSC domain containing 4","HGNC:40023","12p11.22"
"USP17L17","Approved symbol","USP17L17","ubiquitin specific peptidase 17 like family member 17","HGNC:44445","4p16.1"
"USP17L18","Approved symbol","USP17L18","ubiquitin specific peptidase 17 like family member 18","HGNC:44446","4p16.1"
"POTEB2","Approved symbol","POTEB2","POTE ankyrin domain family member B2","HGNC:48327","15q11.2"
"USP17L19","Approved symbol","USP17L19","ubiquitin specific peptidase 17 like family member 19","HGNC:44447","4p16.1"
"USP17L20","Approved symbol","USP17L20","ubiquitin specific peptidase 17 like family member 20","HGNC:44448","4p16.1"
"USP17L21","Approved symbol","USP17L21","ubiquitin specific peptidase 17 like family member 21","HGNC:44449","4p16.1"
"SMKR1","Approved symbol","SMKR1","small lysine rich protein 1","HGNC:43561","7q32.1"
"USP17L22","Approved symbol","USP17L22","ubiquitin specific peptidase 17 like family member 22","HGNC:44450","4p16.1"
"GLYATL1B","Approved symbol","GLYATL1B","glycine-N-acyltransferase like 1B","HGNC:37865","11q12.1"
"ANKRD66","Approved symbol","ANKRD66","ankyrin repeat domain 66","HGNC:44669","6p12.3"
"TTC34","Approved symbol","TTC34","tetratricopeptide repeat domain 34","HGNC:34297","1p36.32"
"TIMM23","Approved symbol","TIMM23","translocase of inner mitochondrial membrane 23","HGNC:17312","10q11.22"
"SDR42E2","Approved symbol","SDR42E2","short chain dehydrogenase/reductase family 42E, member 2","HGNC:35414","16p12.1"
"NBPF20","Approved symbol","NBPF20","NBPF member 20","HGNC:32000","1q21.1"
"KRTAP22-2","Approved symbol","KRTAP22-2","keratin associated protein 22-2","HGNC:37091","21q22.11"
"KRTAP21-3","Approved symbol","KRTAP21-3","keratin associated protein 21-3","HGNC:34216","21q22.11"
"NPIPA5","Approved symbol","NPIPA5","nuclear pore complex interacting protein family member A5","HGNC:41980","16p13.11"
"ERVMER34-1","Approved symbol","ERVMER34-1","endogenous retrovirus group MER34 member 1, envelope","HGNC:42970","4q12"
"USP17L15","Approved symbol","USP17L15","ubiquitin specific peptidase 17 like family member 15","HGNC:44443","4p16.1"
"DUX4","Approved symbol","DUX4","double homeobox 4","HGNC:50800","4q35.2"
"DUX4","Previous symbol","DUX4L1","double homeobox 4 like 1 (pseudogene)","HGNC:3082","4q35.2"
"LIMS4","Approved symbol","LIMS4","LIM zinc finger domain containing 4","HGNC:39941","2q13"
"TMEM239","Approved symbol","TMEM239","transmembrane protein 239","HGNC:40044","20p13"
"FRG2C","Approved symbol","FRG2C","FSHD region gene 2 family member C","HGNC:33626","3p12.3"
"CLDN34","Approved symbol","CLDN34","claudin 34","HGNC:51259","Xp22.2"
"B3GALT9","Approved symbol","B3GALT9","beta-1,3-galactosyltransferase 9","HGNC:53652","9q33.2"
"LOC100288966","Unmatched","","","",""
"TSPY10","Approved symbol","TSPY10","testis specific protein Y-linked 10","HGNC:37473","Yp11.2"
"TMEM225B","Approved symbol","TMEM225B","transmembrane protein 225B","HGNC:53075","7q22.1"
"TMEM238L","Approved symbol","TMEM238L","transmembrane protein 238 like","HGNC:44356","17p13.1-p12"
"CNTNAP3C","Approved symbol","CNTNAP3C","contactin associated protein family member 3C","HGNC:53878","9q12"
"DEFB4B","Approved symbol","DEFB4B","defensin beta 4B","HGNC:30193","8p23.1"
"ZNF605","Approved symbol","ZNF605","zinc finger protein 605","HGNC:28068","12q24.33"
"ZNF783","Approved symbol","ZNF783","zinc finger protein 783","HGNC:27222","7q36.1"
"ZNF587B","Approved symbol","ZNF587B","zinc finger protein 587B","HGNC:37142","19q13.43"
"CDH5","Approved symbol","CDH5","cadherin 5","HGNC:1764","16q21"
"GPR75-ASB3","Approved symbol","GPR75-ASB3","GPR75-ASB3 readthrough","HGNC:40043","2p16.2"
"TMED7-TICAM2","Approved symbol","TMED7-TICAM2","TMED7-TICAM2 readthrough","HGNC:33945","5q22.3"
"PET117","Approved symbol","PET117","PET117 cytochrome c oxidase chaperone","HGNC:40045","20p11.23"
"SPDYE2B","Approved symbol","SPDYE2B","speedy/RINGO cell cycle regulator family member E2B","HGNC:48334","7q22.1"
"ANKRD61","Approved symbol","ANKRD61","ankyrin repeat domain 61","HGNC:22467","7p22.1"
"SAP25","Approved symbol","SAP25","Sin3A associated protein 25","HGNC:41908","7q22.1"
"TRPC5OS","Approved symbol","TRPC5OS","TRPC5 opposite strand","HGNC:40593","Xq23"
"CHAF1A","Approved symbol","CHAF1A","chromatin assembly factor 1 subunit A","HGNC:1910","19p13.3"
"PARP2","Approved symbol","PARP2","poly(ADP-ribose) polymerase 2","HGNC:272","14q11.2"
"ZBED6","Approved symbol","ZBED6","zinc finger BED-type containing 6","HGNC:33273","1q32.1"
"PARP3","Approved symbol","PARP3","poly(ADP-ribose) polymerase family member 3","HGNC:273","3p21.2"
"CDH6","Approved symbol","CDH6","cadherin 6","HGNC:1765","5p13.3"
"TOM1L1","Approved symbol","TOM1L1","target of myb1 like 1 membrane trafficking protein","HGNC:11983","17q22"
"PRR20G","Approved symbol","PRR20G","proline rich 20G","HGNC:53837","3q21.3"
"ZNF722","Approved symbol","ZNF722","zinc finger protein 722","HGNC:22571","7q11.21"
"HMGXB4","Approved symbol","HMGXB4","HMG-box containing 4","HGNC:5003","22q12.3"
"MSANTD7","Approved symbol","MSANTD7","Myb/SANT DNA binding domain containing 7","HGNC:56248","10p13"
"IGLL5","Approved symbol","IGLL5","immunoglobulin lambda like polypeptide 5","HGNC:38476","22q11.22"
"TOM1","Approved symbol","TOM1","target of myb1 membrane trafficking protein","HGNC:11982","22q12.3"
"KLRF2","Approved symbol","KLRF2","killer cell lectin like receptor F2","HGNC:37646","12p13.31"
"SH2D3C","Approved symbol","SH2D3C","SH2 domain containing 3C","HGNC:16884","9q34.11"
"SH2D3A","Approved symbol","SH2D3A","SH2 domain containing 3A","HGNC:16885","19p13.3"
"MAMLD1","Approved symbol","MAMLD1","mastermind like domain containing 1","HGNC:2568","Xq28"
"CST8","Approved symbol","CST8","cystatin 8","HGNC:2480","20p11.21"
"RANBP9","Approved symbol","RANBP9","RAN binding protein 9","HGNC:13727","6p23"
"DNAJB6","Approved symbol","DNAJB6","DnaJ heat shock protein family (Hsp40) member B6","HGNC:14888","7q36.3"
"CCDC180","Approved symbol","CCDC180","coiled-coil domain containing 180","HGNC:29303","9q22.33"
"CDH7","Approved symbol","CDH7","cadherin 7","HGNC:1766","18q22.1"
"CDH7","Alias symbol","CDH19","cadherin 19","HGNC:1758","18q22.1"
"CDH7","Alias symbol","CDH20","cadherin 20","HGNC:1760","18q21.33"
"SLC17A4","Approved symbol","SLC17A4","solute carrier family 17 member 4","HGNC:10932","6p22.2"
"CCDC179","Approved symbol","CCDC179","coiled-coil domain containing 179","HGNC:44653","11p14.3"
"IQCJ-SCHIP1","Approved symbol","IQCJ-SCHIP1","IQCJ-SCHIP1 readthrough","HGNC:38842","3q25.32-q25.33"
"TEX48","Approved symbol","TEX48","testis expressed 48","HGNC:52393","9q32"
"INAFM2","Approved symbol","INAFM2","InaF motif containing 2","HGNC:35165","15q15.1"
"LASP1NB","Approved symbol","LASP1NB","LASP1 neighbor","HGNC:44353","17q12"
"LRRC3C","Approved symbol","LRRC3C","leucine rich repeat containing 3C","HGNC:40034","17q21.1"
"KRTAP9-7","Approved symbol","KRTAP9-7","keratin associated protein 9-7","HGNC:18915","17q21.2"
"SPATA1","Approved symbol","SPATA1","spermatogenesis associated 1","HGNC:14682","1p22.3"
"KRTAP16-1","Approved symbol","KRTAP16-1","keratin associated protein 16-1","HGNC:18916","17q21.2"
"SPDYE18","Approved symbol","SPDYE18","speedy/RINGO cell cycle regulator family member E18","HGNC:51514","7q11.23"
"ZNF475","Approved symbol","ZNF475","zinc finger protein 475","HGNC:53564","5q23.2"
"ZNF475","Alias symbol","ZFP1","ZFP1 zinc finger protein","HGNC:23328","16q23.1"
"CEBPZOS","Approved symbol","CEBPZOS","CEBPZ opposite strand","HGNC:49288","2p22.2"
"SMIM31","Approved symbol","SMIM31","small integral membrane protein 31","HGNC:49638","4q32.3"
"TMEM210","Approved symbol","TMEM210","transmembrane protein 210","HGNC:34059","9q34.3"
"APELA","Approved symbol","APELA","apelin receptor early endogenous ligand","HGNC:48925","4q32.3"
"LRRC72","Approved symbol","LRRC72","leucine rich repeat containing 72","HGNC:42972","7p21.1"
"ARL17B","Approved symbol","ARL17B","ARF like GTPase 17B","HGNC:32387","17q21.31"
"GVQW3","Approved symbol","GVQW3","GVQW motif containing 3","HGNC:51239","11q13.5"
"TMEM35B","Approved symbol","TMEM35B","transmembrane protein 35B","HGNC:40021","1p34.3"
"HSFX1","Approved symbol","HSFX1","heat shock transcription factor family, X-linked 1","HGNC:29603","Xq28"
"KRBOX1","Approved symbol","KRBOX1","KRAB box domain containing 1","HGNC:38708","3p22.1"
"EDDM13","Approved symbol","EDDM13","epididymal protein 13","HGNC:53168","19q13.43"
"MISFA","Approved symbol","MISFA","mitochondrial sheath formation associated","HGNC:44122","11p15.1"
"SPMAP2L","Approved symbol","SPMAP2L","sperm microtubule associated protein 2 like","HGNC:43771","4q12"
"C16orf95","Approved symbol","C16orf95","chromosome 16 open reading frame 95","HGNC:40033","16q24.2"
"OCLN","Approved symbol","OCLN","occludin","HGNC:8104","5q13.2"
"SLFN12L","Approved symbol","SLFN12L","schlafen family member 12 like","HGNC:33920","17q12"
"GFY","Approved symbol","GFY","golgi associated olfactory signaling regulator","HGNC:44663","19q13.33"
"MRLN","Approved symbol","MRLN","myoregulin","HGNC:48649","10q21.2"
"TUNAR","Approved symbol","TUNAR","transmembrane neural differentiation associated intracellular calcium regulator","HGNC:44088","14q32.2"
"TPBGL","Approved symbol","TPBGL","trophoblast glycoprotein like","HGNC:44159","11q13.4"
"LRCOL1","Approved symbol","LRCOL1","leucine rich colipase like 1","HGNC:44160","12q24.33"
"GIMD1","Approved symbol","GIMD1","GIMAP family P-loop NTPase domain containing 1","HGNC:44141","4q24"
"CT47A12","Approved symbol","CT47A12","cancer/testis antigen family 47 member A12","HGNC:33292","Xq24"
"SMLR1","Approved symbol","SMLR1","small leucine rich protein 1","HGNC:44670","6q23.1"
"LOC100507221","Unmatched","","","",""
"ZNF865","Approved symbol","ZNF865","zinc finger protein 865","HGNC:38705","19q13.42"
"SMIM18","Approved symbol","SMIM18","small integral membrane protein 18","HGNC:42973","8p12"
