sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"TSPAN6","Approved symbol","TSPAN6","tetraspanin 6","HGNC:11858","Xq22.1"
"TNMD","Approved symbol","TNMD","tenomodulin","HGNC:17757","Xq22.1"
"DPM1","Approved symbol","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","HGNC:3005","20q13.13"
"SCYL3","Approved symbol","SCYL3","SCY1 like pseudokinase 3","HGNC:19285","1q24.2"
"SCYL3","Alias symbol","CCL15","C-C motif chemokine ligand 15","HGNC:10613","17q12"
"FIRRM","Approved symbol","FIRRM","FIGNL1 interacting regulator of recombination and mitosis","HGNC:25565","1q24.2"
"FGR","Approved symbol","FGR","FGR proto-oncogene, Src family tyrosine kinase","HGNC:3697","1p35.3"
"CFH","Approved symbol","CFH","complement factor H","HGNC:4883","1q31.3"
"FUCA2","Approved symbol","FUCA2","alpha-L-fucosidase 2","HGNC:4008","6q24.2"
"GCLC","Approved symbol","GCLC","glutamate-cysteine ligase catalytic subunit","HGNC:4311","6p12.1"
"NFYA","Approved symbol","NFYA","nuclear transcription factor Y subunit alpha","HGNC:7804","6p21.1"
"STPG1","Approved symbol","STPG1","sperm tail PG-rich repeat containing 1","HGNC:28070","1p36.11"
"NIPAL3","Approved symbol","NIPAL3","NIPA like domain containing 3","HGNC:25233","1p36.11"
"LAS1L","Approved symbol","LAS1L","LAS1 like ribosome biogenesis factor","HGNC:25726","Xq12"
"ENPP4","Approved symbol","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","HGNC:3359","6p21.1"
"SEMA3F","Approved symbol","SEMA3F","semaphorin 3F","HGNC:10728","3p21.31"
"CFTR","Approved symbol","CFTR","CF transmembrane conductance regulator","HGNC:1884","7q31.2"
"ANKIB1","Approved symbol","ANKIB1","ankyrin repeat and IBR domain containing 1","HGNC:22215","7q21.2"
"CYP51A1","Approved symbol","CYP51A1","cytochrome P450 family 51 subfamily A member 1","HGNC:2649","7q21.2"
"KRIT1","Approved symbol","KRIT1","KRIT1 ankyrin repeat containing","HGNC:1573","7q21.2"
"RAD52","Approved symbol","RAD52","RAD52 homolog, DNA repair protein","HGNC:9824","12p13.33"
"BAD","Approved symbol","BAD","BCL2 associated agonist of cell death","HGNC:936","11q13.1"
"LAP3","Approved symbol","LAP3","leucine aminopeptidase 3","HGNC:18449","4p15.32"
"CD99","Approved symbol","CD99","CD99 molecule (Xg blood group)","HGNC:7082","Xp22.32 and Yp11.3"
"HS3ST1","Approved symbol","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1","HGNC:5194","4p15.33"
"AOC1","Approved symbol","AOC1","amine oxidase copper containing 1","HGNC:80","7q36.1"
"WNT16","Approved symbol","WNT16","Wnt family member 16","HGNC:16267","7q31.31"
"HECW1","Approved symbol","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","HGNC:22195","7p14.1-p13"
"MAD1L1","Approved symbol","MAD1L1","mitotic arrest deficient 1 like 1","HGNC:6762","7p22.3"
"LASP1","Approved symbol","LASP1","LIM and SH3 protein 1","HGNC:6513","17q12"
"SNX11","Approved symbol","SNX11","sorting nexin 11","HGNC:14975","17q21.32"
"TMEM176A","Approved symbol","TMEM176A","transmembrane protein 176A","HGNC:24930","7q36.1"
"M6PR","Approved symbol","M6PR","mannose-6-phosphate receptor, cation dependent","HGNC:6752","12p13.31"
"KLHL13","Approved symbol","KLHL13","kelch like family member 13","HGNC:22931","Xq24"
"CYP26B1","Approved symbol","CYP26B1","cytochrome P450 family 26 subfamily B member 1","HGNC:20581","2p13.2"
"ICA1","Approved symbol","ICA1","islet cell autoantigen 1","HGNC:5343","7p21.3"
"DBNDD1","Approved symbol","DBNDD1","dysbindin domain containing 1","HGNC:28455","16q24.3"
"ALS2","Approved symbol","ALS2","alsin Rho guanine nucleotide exchange factor ALS2","HGNC:443","2q33.1"
"CASP10","Approved symbol","CASP10","caspase 10","HGNC:1500","2q33.1"
"CFLAR","Approved symbol","CFLAR","CASP8 and FADD like apoptosis regulator","HGNC:1876","2q33.1"
"TFPI","Approved symbol","TFPI","tissue factor pathway inhibitor","HGNC:11760","2q32.1"
"NDUFAF7","Approved symbol","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7","HGNC:28816","2p22.2"
"RBM5","Approved symbol","RBM5","RNA binding motif protein 5","HGNC:9902","3p21.31"
"MTMR7","Approved symbol","MTMR7","myotubularin related protein 7","HGNC:7454","8p22"
"SLC7A2","Approved symbol","SLC7A2","solute carrier family 7 member 2","HGNC:11060","8p22"
"ARF5","Approved symbol","ARF5","ARF GTPase 5","HGNC:658","7q32.1"
"SARM1","Approved symbol","SARM1","sterile alpha and TIR motif containing 1","HGNC:17074","17q11.2"
"POLDIP2","Approved symbol","POLDIP2","DNA polymerase delta interacting protein 2","HGNC:23781","17q11.2"
"PLXND1","Approved symbol","PLXND1","plexin D1","HGNC:9107","3q22.1"
"AK2","Approved symbol","AK2","adenylate kinase 2","HGNC:362","1p35.1"
"CD38","Approved symbol","CD38","CD38 molecule","HGNC:1667","4p15.32"
"FKBP4","Approved symbol","FKBP4","FKBP prolyl isomerase 4","HGNC:3720","12p13.33"
"KDM1A","Approved symbol","KDM1A","lysine demethylase 1A","HGNC:29079","1p36.12"
"RBM6","Approved symbol","RBM6","RNA binding motif protein 6","HGNC:9903","3p21.31"
"CAMKK1","Approved symbol","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1","HGNC:1469","17p13.2"
"RECQL","Approved symbol","RECQL","RecQ like helicase","HGNC:9948","12p12.1"
"VPS50","Approved symbol","VPS50","VPS50 subunit of EARP/GARPII complex","HGNC:25956","7q21.2-q21.3"
"HSPB6","Approved symbol","HSPB6","heat shock protein family B (small) member 6","HGNC:26511","19q13.12"
"ARHGAP33","Approved symbol","ARHGAP33","Rho GTPase activating protein 33","HGNC:23085","19q13.12"
"NDUFAB1","Approved symbol","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1","HGNC:7694","16p12.2"
"PDK4","Approved symbol","PDK4","pyruvate dehydrogenase kinase 4","HGNC:8812","7q21.3"
"SLC22A16","Approved symbol","SLC22A16","solute carrier family 22 member 16","HGNC:20302","6q21"
"ZMYND10","Approved symbol","ZMYND10","zinc finger MYND-type containing 10","HGNC:19412","3p21.31"
"ABCB5","Approved symbol","ABCB5","ATP binding cassette subfamily B member 5","HGNC:46","7p21.1"
"ARX","Approved symbol","ARX","aristaless related homeobox","HGNC:18060","Xp21.3"
"SLC25A13","Approved symbol","SLC25A13","solute carrier family 25 member 13","HGNC:10983","7q21.3"
"ST7","Approved symbol","ST7","suppression of tumorigenicity 7","HGNC:11351","7q31.2"
"ST7","Alias symbol","LRP12","LDL receptor related protein 12","HGNC:31708","8q22.3"
"CDC27","Approved symbol","CDC27","cell division cycle 27","HGNC:1728","17q21.32"
"SLC4A1","Approved symbol","SLC4A1","solute carrier family 4 member 1 (Diego blood group)","HGNC:11027","17q21.31"
"CALCR","Approved symbol","CALCR","calcitonin receptor","HGNC:1440","7q21.3"
"HCCS","Approved symbol","HCCS","holocytochrome c synthase","HGNC:4837","Xp22.2"
"DVL2","Approved symbol","DVL2","dishevelled segment polarity protein 2","HGNC:3086","17p13.1"
"PRSS22","Approved symbol","PRSS22","serine protease 22","HGNC:14368","16p13.3"
"UPF1","Approved symbol","UPF1","UPF1 RNA helicase and ATPase","HGNC:9962","19p13.11"
"SKAP2","Approved symbol","SKAP2","src kinase associated phosphoprotein 2","HGNC:15687","7p15.2"
